Front,Back
"PPE stands for?","Personal Protective Equipment."
"What is a JSA/JHA?","Job Safety Analysis/Job Hazard Analysis to identify and control hazards."
"Confined space definition?,"Space large enough to enter"," limited entry/exit"," not designed for continuous occupancy."
"Permit-required confined space extra hazard?","Contains/likely to contain hazardous atmosphere or other serious hazards."
"Atmospheric tests before entry?,"Oxygen"," flammable gases/vapors"," toxic gases (e.g."," H2S"," CO)."
"Acceptable oxygen range?","19.5% to 23.5%."
"Fall protection trigger height (typical)?","≥6 ft general industry (check local rules)."
"Lockout/Tagout purpose?","Control hazardous energy during service/maintenance."
"What is H2S hazard?","Toxic gas; can cause respiratory paralysis at high concentrations."
"SCBA is?","Self-Contained Breathing Apparatus."
"When to use face shields?,"During tasks with splash risk (chemicals"," pressurized lines)."
"What is SDS?","Safety Data Sheet describing chemical hazards and handling."
"What is secondary containment?","Containment to capture spills/leaks from primary containers."
"Emergency eyewash/shower response time?","Reach within 10 seconds; flush eyes for at least 15 minutes."
"What is a hot work permit?","Authorization for welding/cutting/spark-producing work."
"Why maintain good housekeeping?","Reduce slips/trips/falls and fire hazards."
"Chemical storage separation?","Segregate incompatibles (acids vs bases vs oxidizers)."
"What is ergonomic risk?,"Injury risk from repetitive motion"," awkward postures"," force."
"Hearing protection threshold (typical)?","Exposure ≥85 dBA over 8 hours (check policy)."
"Why use traffic control in streets?","Protect workers and public per MUTCD or local guidelines."
"What is trench cave-in hazard control?,"Sloping"," shoring"," or shielding per soil classification."
"Minimum trench protection depth (typical)?","Protection required at ≥5 ft unless rock (check local rules)."
"What is lockout device verification?","Try-start or test to confirm energy isolation is effective."
"Why keep MSDS/SDS accessible?","Ensure quick reference during handling/emergencies."
"What is a near-miss?","Unplanned event that did not result in injury/damage but could have."
"Why report near-misses?","Prevent future incidents by addressing root causes."
"What is GFCI?","Ground-Fault Circuit Interrupter for shock protection."
"Why inspect ladders?","Identify defects and prevent falls."
"Three points of contact means?","Two hands and one foot or two feet and one hand on ladder."
"Why maintain hydration/heat stress program?","Prevent heat exhaustion/heat stroke for outdoor work."
