Front,Back
"UV disinfection primarily inactivates microorganisms by:
a. Damaging nucleic acids (DNA/RNA)
b. Removing cell walls
c. Oxidizing metals
d. Stripping gases",Answer: a. Damaging nucleic acids (DNA/RNA)
"UV dose is the product of:
a. UV intensity and exposure time
b. Lamp power and lamp age
c. Color and turbidity
d. Flow and temperature",Answer: a. UV intensity and exposure time
"UV transmittance (UVT) is a measure of:
a. How much UV light passes through the water
b. Chlorine residual
c. pH
d. Turbidity only",Answer: a. How much UV light passes through the water
"Low UVT water requires:
a. Higher lamp power or more reactors to achieve the same dose
b. Less lamp power
c. No UV treatment
d. Only chlorine treatment",Answer: a. Higher lamp power or more reactors to achieve the same dose
"UV/AOP (advanced oxidation) combines UV with:
radicals
a. A chemical such as hydrogen peroxide or ozone to form hydroxyl
b. Lime softening
c. Ion exchange resin
d. Sand filtration",Answer: a. A chemical such as hydrogen peroxide or ozone to form hydroxyl
"AOP is particularly effective at:
a. Oxidizing trace organic compounds and some taste/odor compounds
b. Removing hardness only
c. Removing dissolved gases only
d. Removing suspended solids only",Answer: a. Oxidizing trace organic compounds and some taste/odor compounds
"Excess peroxide downstream of UV/AOP can:
a. Increase residual oxidant that may need quenching
b. Increase turbidity
c. Reduce UV dose
d. Increase scaling",Answer: a. Increase residual oxidant that may need quenching
"UV reactors typically require:
a. Clean quartz sleeves to maintain adequate intensity
b. Excess chlorine residual
c. High turbidity
d. High hardness",Answer: a. Clean quartz sleeves to maintain adequate intensity
"Online UV intensity sensors must be:
a. Calibrated and kept clean for accurate dose control
b. Left untouched once installed
c. Operated only in manual mode
d. Used only for alarm, not control",Answer: a. Calibrated and kept clean for accurate dose control
"A sudden drop in UV dose with normal UVT and lamp status often
indicates:
a. Fouled intensity sensors or incorrect readings
b. Low pH
c. High hardness
d. High alkalinity",Answer: a. Fouled intensity sensors or incorrect readings
"Disinfection by chloramines is often used to:
potential
a. Provide a more stable residual with lower THM formation
b. Increase taste and odor complaints
c. Increase CT significantly
d. Eliminate nitrification",Answer: a. Provide a more stable residual with lower THM formation
"Nitrification in chloraminated systems occurs when:
nitrate
a. Ammonia-oxidizing bacteria convert ammonia to nitrite and
b. Chlorine reacts with organics
c. Hardness precipitates
d. UV dose is too high",Answer: a. Ammonia-oxidizing bacteria convert ammonia to nitrite and
"To control nitrification, operators commonly:
chlorination
a. Increase free chlorine temporarily or perform breakpoint
b. Decrease chlorine dose to zero
c. Add more ammonia
d. Remove all storage tanks from service",Answer: a. Increase free chlorine temporarily or perform breakpoint
"pH adjustment after RO is often required to:
a. Reduce corrosivity and adjust finished water alkalinity
b. Increase turbidity
c. Increase TDS
d. Eliminate the need for disinfectant",Answer: a. Reduce corrosivity and adjust finished water alkalinity
"Caustic soda (NaOH) is commonly used in advanced treatment to:
a. Increase pH and alkalinity
b. Decrease hardness
c. Remove TOC
d. Form chloramines",Answer: a. Increase pH and alkalinity
"Carbon dioxide addition to RO permeate is sometimes used to:
a. Increase alkalinity before lime or caustic addition
b. Disinfect water
c. Remove hardness
d. Remove color",Answer: a. Increase alkalinity before lime or caustic addition
