Front,Back
"SCADA stands for:
a. Supervisory Control and Data Acquisition
b. Simple Computer Data Analysis
c. Sequential Control and Distribution Automation
d. Supervisory Chemical Dosing Application",Answer: a. Supervisory Control and Data Acquisition
"A trending graph in SCADA helps the operator:
a. Identify patterns and gradual changes in process variables
b. Replace instrument calibrations
c. Eliminate lab testing
d. Estimate pipe diameter",Answer: a. Identify patterns and gradual changes in process variables
"An analog signal from a transmitter is most commonly:
a. A 4–20 mA current loop
b. 0–1 V DC
c. A binary contact closure only
d. A 120 V AC signal",Answer: a. A 4–20 mA current loop
"A “fail-safe” valve position is chosen to:
is lost
a. Place the system in the safest state if power or control signal
b. Maximize production under all conditions
c. Maintain maximum pressure
d. Reduce operator involvement",Answer: a. Place the system in the safest state if power or control signal
"Alarm deadband is used to:
a. Prevent nuisance alarms due to minor signal fluctuations
b. Increase alarm volume
c. Eliminate alarms
d. Change setpoints automatically",Answer: a. Prevent nuisance alarms due to minor signal fluctuations
"A permissive in a start sequence means:
a. A condition that must be satisfied before equipment can start
b. A condition that stops equipment
c. A manual override
d. A high-priority alarm",Answer: a. A condition that must be satisfied before equipment can start
"Flow pacing of chemical feed means:
a. Chemical dose is automatically adjusted in proportion to flow
b. Chemicals are added at a constant rate
c. Operators manually adjust pumps hourly
d. Dosing is based on tank level only",Answer: a. Chemical dose is automatically adjusted in proportion to flow
"A totalizer on a flow meter is used to:
a. Measure cumulative flow over time
b. Measure instantaneous pressure
c. Measure turbidity
d. Measure conductivity",Answer: a. Measure cumulative flow over time
"A sudden flat-line reading on a transmitter usually indicates:
a. Loss of signal, power, or instrument failure
b. Perfect process stability
c. Excellent water quality
d. Normal calibration","Answer: a. Loss of signal, power, or instrument failure"
"Cybersecurity in SCADA systems is important because:
safety
a. Unauthorized access could disrupt operations or compromise
b. It eliminates the need for physical security
c. It is required only for financial systems
d. It only affects email",Answer: a. Unauthorized access could disrupt operations or compromise
"A calibration check on an online analyzer is done to:
a. Confirm the instrument is reading accurately
b. Change its measurement range
c. Adjust pump speeds
d. Replace the sensor",Answer: a. Confirm the instrument is reading accurately
"When field readings and lab results do not match, the operator
should:
a. Investigate possible sampling, handling, or instrument issues
b. Ignore the lab results
c. Ignore the field readings
d. Immediately change all setpoints","Answer: a. Investigate possible sampling, handling, or instrument issues"
