Front,Back
"What is coagulation?","Addition of chemicals to destabilize particles."
"What is flocculation?","Gentle mixing to form larger floc from destabilized particles."
"What is sedimentation?","Gravity settling to remove floc before filtration."
"What is filtration?","Passing water through media to remove remaining solids."
"Common coagulant chemical?","Aluminum sulfate (alum) or ferric salts."
"What is jar testing?","Bench tests to optimize coagulant dose and mixing conditions."
"What is filter ripening?","Initial period after startup when effluent turbidity may be higher."
"What is backwashing?","Reversing flow to clean a filter by expanding the media bed."
"What is filter-to-waste?","Discharging initial filtered water until quality stabilizes."
"What is GAC?","Granular Activated Carbon used for organics/DBP precursor removal."
"What is PAC?","Powdered Activated Carbon dosed for taste/odor or organics control."
"What is lime softening?","Chemical precipitation process to reduce hardness/alkalinity."
"What is membrane MF/UF?","Micro/ultrafiltration membranes removing particles/pathogens."
"What is RO?","Reverse Osmosis membrane process removing dissolved salts/contaminants."
"Define flux (membranes).","Permeate flow per area (e.g. gfd or LMH)."
"What is CIP?","Clean‑in‑place for membrane fouling removal."
"What is aeration used for?","Oxidize/strip VOCs, H2S, CO2; increase DO."
"What is oxidation for iron/manganese?","Convert soluble forms to insoluble for filtration."
"What is breakpoint chlorination?","Adding chlorine until demand satisfied and free chlorine residual forms."
"What is ozonation?","Use of ozone as a strong oxidant/disinfectant."
"What is UV disinfection?","Use of ultraviolet light to inactivate pathogens."
"What is sludge blanket?","Suspended solids layer in upflow clarifiers aiding separation."
"What is sludge age (solids retention time)?","Average time solids stay in a biological system."
"What is DAF?","Dissolved Air Flotation to float solids to surface for removal."
"What is polymer?","Coagulant aid to strengthen floc and improve settling."
"What is filter breakthrough?","Sudden rise in effluent turbidity indicating loss of performance."
"What is recarbonation?","CO2 addition after softening to stabilize water and adjust pH."
"Purpose of baffling in contactors?","Increase contact time and reduce short‑circuiting."
"What is pre‑oxidation used for?","Control taste/odor, manganese, or algae prior to coagulation."
"What is a clearwell?","Finished‑water storage providing disinfection contact time."
"What is the recommended loading rate for copper sulfate for algae control at an alkalinity greater than 50 mg/l?","5.4 LB of copper sulfate per acre of surface area."
"What is the primary origin of coliform bacteria in water supplies?","Animal or human feces."
"Which of the following best defines the term specific capacity?","Amount of water a well will produce for each foot of drawdown."
"The most common type of well used for public water supply systems is a __________?","Drilled well."
"Copper sulfate is used for algae control. Your reservoir is 1,200 ft. long and 600 ft. wide. At an application rate of 5.5 LB per surface acre, how much copper sulfate is required?","91 LB."
"Which of the following terms is defined as the killing or inactivation of pathogenic organisms in water?","Disinfection."
"Free chlorine residual values are based on a contact time of at least?","10 minutes."
"What is the typical strength of calcium hypochlorite, available chlorine range?","65-70\%."
"The iron content of a raw water is 1.81 mg/l. What is the percent removal if the finished water contains 0.11 mg/l iron?","94\%."
"Which of the following chemicals will raise pH?","Soda ash. Lime and Caustic soda also raise pH."
"As water temperature increases, the disinfection action of chlorine will?","Increase."
"What effect will caustic soda have on water?","Increase the pH of the water."
"In order to prevent freezing, what is the maximum chlorine usage per day from a 150 LB cylinder?","42 LBS."
"Which of the following chemicals is used to soften water through chemical precipitation?","Calcium hydroxide (Lime)."
"How many pounds of 61\% calcium hypochlorite are required for a 50 mg/l dosage in a tank that is 110 ft in diameter and has a water level of 19 ft?","923 LBS."
"Mudballs are clumps of?","Filter media and other material."
"Coagulation occurs during the first?","1 to 5 seconds."
"A filter has a surface area of 920 sq ft. What is the filtration rate in gallons per minute per square foot, if it receives a flow of 4,875 GPM?","5.3 GPM/SQ FT."
"A filter should be backwashed when it has a high?","Head loss, filters should also be backwashed when effluent turbidity is high."
"Which of the following chemicals decreases corrosion rates?","CaCO3"
"The relative importance of removal mechanisms within a filter depends largely on the name of the water being treated, degree of pre-treatment, and filter characteristics","TRUE"
"In all gravity filtration systems the water level or pressure (head) below the media forces the water through the filter media","False; above the media"
"Filter production rates are the measures of the amount of water that can be processed through an individual filter module in a given time period","TRUE"
"Depending on the amount of DO in the water being treated and the filtration rate"," the filter will exhibit high head loss or clog after a given time period","FALSE"
"Usually higher backwash rates are required at low temperatures and with smaller media","FALSE"
"Filter Backwash Recycling Rule requires that recycled filter back wash water be returned downstream of all treatment processes","FALSE"
"Filtration is the first and most important step in the solids removal process","FALSE"
"Significant changes in source water turbidity levels"," either increases or decreases"," require immediate verification of the effectiveness of the filtration process in removing suspended solids and floc","TRUE"
"The startup or shutdown of the filtration process is not a routine operating procedure in most water treatment plants","FALSE"
"Particle counters can tell the difference between a particle of clay and a microorganism","FALSE"
"Conventional filtration","filtration that is preceded by coagulation, flocculation and sedimentation."
"Why is activated carbon used along with other types of filter media?","To remove tastes, odors, and organic substances"
"Slurry,A watery mixture or suspension of insoluble matter"
"Why must adequate clearance be allowed between the top of the filter media and the bottom of the wash trough?","To prevent the filter media from being carried out over the wash troughs during backwash"
"In the filtration process, how is filter efficiency measured?","By overall reduction in turbidity"
"filter clogging,A buildup of head loss across the filter media until it reaches some predetermined design limit"
"What problem is created by too high backwash rate?","There could be excessive loss of filter media and media disturbance"
"How do filter control systems regulate flow rates throughout the filter?","By maintaining an adequate head above the media surface"
"How does the declining-rate filter control system work?","The flow rate varies with head loss and each filter operates at the same, but variable, water surface level"
"How does the self-backwash filter control system work?","The influent flow to each filter is divided by a weir and the water surface level in each filter varies according to head loss, but the flow rate remains constant for each"
"Advantage of the conventional filtration process,The system provides a great amount of flexibility and reliability in plant operation"
"What is an efficient means of handling filter backwash waters?","Recycle the water to the beginning of the plant"
"Problem caused by air-bound filters,The air prevents water from passing through the filter and causes shortened filter runs"
"Surface Water Treatment Rule,A set of treatment technique requirements that apply to all water system using surface water"
"Why is flow control critical for accurate and repeatable particle counter performance?","Because all particle count data must be based on sample volume"
"A crack or break in a filter bed allowing floc or particulate matter to pass through a filter causing increased filter effluent turbidity,breakthrough"
"Material round in shape that forms in filters and gradually increases in size when not removed by the back washing process,Mud ball"
"a soft, fine, porous deposit that is composed mainly of the skeletons of diatoms,diatomaceous earth"
"A method of treating water which consists of the addition of coagulant chemicals, flash mixing, coagulation, minimal flocculation, and filtration.,Direct filtration"
"An instrument for measuring and comparing the turbidity of liquids by passing light through them and determining how much light is reflected by the particles in the liquid. The normal measuring range is 0 to 100 and is expressed as Nephelometric Turbidity Units (NTUs).,Turbidity meter"
"the head, pressure or energy lost by water flowing in a pipe or channel as a result of turbulence caused by the velocity of the flowing water and the roughness of he pipe, channel walls or restrictions caused by fittings.,Head loss"
"The gathering of a gas, liquid, or dissolved substance on the surface or interface zone of another material.,Adsorption"
"The process of reversing the flow of water back through the filter media to remove the entrapped solids.,Backwashing"
"used to measure hydraulic head,Piezometer"
"The distance between the water surface and the media surface in a filter.,submergence"
"Why is diatomaceous earth filtration used in some water treatment applications and not in others,""Limited use in larger treatment plants due to hydraulic flow, sludge disposal, and other operational conditions"
"What is a desirable characteristics for filter media,A deeper filter bed with a larger media size"
"What problems can develop from improper backwash rates,An insufficient backwash rates may not completely remove trapped solids from the filter media"
"What is the primary purpose of the filtration process?","To remove particulate impurities and floc from water being treated"
"Which instrument would you use to monitor a filtration process?","Turbidity meter"
"How frequently should the performance of the filtration process be evaluated?","Influent, every 2 hours; effluent, continuously"
"What would you look for in evaluating the filter media condition after a back wash cycle?","Cracking, media loss, and mud balls"
"Which item is an indicator of an upset or failure in the filtration process or pretreatment process?","Excessive media loss"
"How could you adjust the filter operation if increases in source water turbidity and resultant increases in coagulant feed rates impose a greater loss on the plants active filters,Decrease filtration rates"
"What backwash process adjustments would you make to solve such problems as media boils, media loss, or incomplete cleaning of media,""Adjust the backwash flow rates, surface wash flow rate, or duration"
"What should you not check for after starting any piece of equipment?","Check for excessive noise and vibration, over heating, and leakage"
"Name a type of filtration that can be used to meet the requirements of the SWTR,Diatomaceous earth filtration"
"How can particle counters be used to monitor filter performance?","Measure effects of filter flow rate"
"When collecting a distribution system sample for bacteriological testing the person collecting sample should allow the water to run how long.,As long as necessary to permit the clearing of the service line"
"Chemical commonly used to raise pH is,lime"
"Polyphosphates may be used in water treatment to retard corrosion and,calcium scale."
"Coagulation and sedimentation alone cannot remove all of the turbidity and suspended matter in raw water. Final step in the removal of suspended matter in water is,Filtration."
"Which chemical is considered most effective for removing or destroying the affect of phenols in water?","CIO2"
"Treated water is always use for back washing,To avoid contamination of the filter bed."
"The nephelometric method of measuring turbidity is based on the ______,Scattering of light."
"How can the supervisor be certain scheduled maintenance is completed?","Supervisor inspect work."
"hydrogen sulfide and water may be effectively controlled by,Aeration."
"In general, a properly operated sedimentation facility should remove,At least 60\% of the settleable matter"
"Trihalomethans are formed when,Chlorine reacts with humic and fulvic acids in water."
