"Front","Back"
"Microfiltration (MF) is a ___-driven membrane process (not diffusion-driven).","Pressure"
"MF typically removes particles in the approximate size range of ___ microns.","0.1 to 10"
"A common MF module configuration in water treatment is the ___ fiber module.","Hollow"
"Many MF systems operate in ___-end mode, where most feed water becomes filtrate.","Dead"
"The pressure difference that drives flow through the membrane is called ___.","Transmembrane pressure"
"The abbreviation TMP stands for ___.","Transmembrane pressure"
"Flux is typically expressed as ___.","LMH (L/m²·h)"
"A typical alternate flux unit used in the U.S. is ___.","gfd (gallons/ft²/day)"
"As membrane fouling increases, the TMP generally ___.","Increases"
"Permeability is commonly defined as ___ divided by TMP.","Flux"
"A short, frequent cleaning step that reverses flow through the membrane is called a ___.","Backwash"
"The process of injecting air to help remove solids from membrane fibers is called ___.","Air scour"
"A combined sequence of backwash and air scour is often called an ___.","EBW (enhanced backwash)"
"A longer, chemical-based cleaning performed less frequently is commonly called ___.","CEB or CIP"
"CIP stands for ___.","Clean-In-Place"
"A chemical commonly used to remove inorganic scale during cleaning is ___.","Acid"
"A chemical commonly used to remove organic or biofouling during cleaning is ___.","Caustic"
"The primary purpose of MF ahead of RO is to protect RO membranes from ___ and ___.","Particles and colloids"
"A common feed water index related to particulate fouling potential for RO is ___.","SDI"
"SDI stands for ___.","Silt Density Index"
"MF is considered a barrier for ___ solids and many microorganisms.","Suspended"
"MF typically provides strong removal of ___ organisms (e.g., Giardia/Crypto).","Protozoa"
"Viruses are generally ___ than typical MF pores.","Smaller"
"MF virus removal credit often relies on ___ rather than pore size alone.","Integrity monitoring"
"The product water from MF is commonly called ___.","Filtrate"
"The stream sent to waste during backwash is often called ___.","Reject or backwash waste"
"The ratio of produced filtrate to feed volume is called ___.","Recovery"
"If recovery is 95%, then ___% of feed becomes waste.","5"
"A membrane integrity test using pressurized air is called a ___ test.","Pressure decay"
"Another integrity concept related to pore wetting is the ___ point.","Bubble point"
"A real-time integrity method using particle counts is called ___ monitoring.","Particle"
"Turbidity is commonly measured in ___.","NTU"
"A sudden drop in TMP at constant flux may indicate a ___.","Breach"
"Operating at constant TMP means the flux will ___ as fouling increases.","Decrease"
"The maximum sustainable flux before rapid fouling occurs is called ___ flux.","Critical"
"Particle accumulation on the membrane surface is called ___ layer formation.","Cake"
"Fouling caused by microbial growth is called ___.","Biofouling"
"In hollow-fiber MF, flow can be ___-in or inside-out.","Outside"
"Many drinking water MF systems use ___-in filtration.","Outside"
"A pretreatment chemical used to improve MF performance is a ___.","Coagulant"
"Excessive coagulant can increase ___ and cleaning frequency.","Fouling"
"A common membrane material used in MF/UF is ___.","PVDF"
"A key fouling trend parameter is normalized ___.","Permeability"
"LMH means ___.","Liters per square meter per hour"
"MF backwash is often triggered by time and/or ___ rise.","TMP"
"In advanced water purification, MF is often followed by ___.","Reverse osmosis"
"MF typically ___ remove dissolved salts.","Does not"
