"Front","Back"
"MF is a pressure-driven membrane process.","True"
"MF is designed to remove dissolved salts like sodium and chloride.","False"
"Transmembrane pressure (TMP) is the driving force for flow through an MF membrane.","True"
"Flux is commonly expressed as LMH (L/m²·h).","True"
"Flux is commonly expressed as NTU.","False"
"As fouling increases at constant flux operation, TMP generally increases.","True"
"In constant TMP operation, flux tends to decrease over time as fouling increases.","True"
"MF is often used as pretreatment to RO to reduce particulate and colloidal fouling potential.","True"
"SDI is commonly used as an indicator of particulate fouling potential for RO.","True"
"SDI stands for Silt Density Index.","True"
"Backwash reverses flow through the membrane to help remove accumulated solids.","True"
"Air scour uses air to help dislodge solids from membrane fibers.","True"
"A chemically enhanced backwash (CEB) is typically performed less frequently than a normal backwash.","True"
"CIP stands for Clean-In-Place.","True"
"CIP is typically shorter and more frequent than a standard backwash.","False"
"Acid cleaning is often used to remove inorganic scale.","True"
"Caustic cleaning is often used to remove organic fouling and biofilm.","True"
"MF provides a physical barrier to suspended solids and many microorganisms.","True"
"Protozoa such as Giardia and Cryptosporidium are generally larger than typical MF pores.","True"
"Viruses are generally larger than typical MF pores.","False"
"MF alone is typically relied upon to remove dissolved organic carbon (DOC) to very low levels.","False"
"A sudden increase in filtrate turbidity may indicate a loss of membrane integrity.","True"
"Turbidity is commonly measured in NTU.","True"
"Continuous particle monitoring can be used as an integrity monitoring approach.","True"
"Pressure decay testing is an example of an integrity test method.","True"
"Bubble point is related to the pressure at which air begins to pass through a wetted pore.","True"
"Higher membrane permeability generally means less resistance to flow.","True"
"Permeability is commonly defined as flux divided by TMP.","True"
"If TMP decreases significantly at constant flux, it may indicate reduced fouling.","True"
"If TMP decreases suddenly at constant flux, it may indicate a breach or sensor problem.","True"
"Cake layer formation is a type of fouling where particles accumulate on the membrane surface.","True"
"Biofouling is associated with microbial growth on or in the membrane system.","True"
"Scaling is caused only by bacteria.","False"
"MF recovery accounts for production as well as backwash/cleaning waste losses.","True"
"If an MF system recovery is 95%, then 5% of feed volume becomes waste.","True"
"Dead-end filtration means essentially all feed becomes filtrate except during cleaning.","True"
"Crossflow filtration continuously sends a portion of feed to waste during filtration.","True"
"Many MF systems used for RO pretreatment operate in dead-end mode.","True"
"Hollow-fiber MF modules are a common configuration in water treatment plants.","True"
"Outside-in filtration means feed is on the outside of the fibers and filtrate is collected inside.","True"
"Coagulation upstream of MF can sometimes improve performance by forming larger particles.","True"
"Excessive coagulant can increase fouling and cleaning frequency in MF systems.","True"
"MF is typically capable of removing hardness (calcium and magnesium) as dissolved ions.","False"
"PVDF is a common polymer used for some MF/UF membranes.","True"
"A key trending parameter for MF condition is normalized permeability (or normalized TMP).","True"
"Critical flux is the flux above which fouling increases rapidly.","True"
"If you operate above critical flux, TMP often rises faster over time.","True"
"MF is commonly followed by reverse osmosis (RO) in advanced water purification trains.","True"
"MF is considered a replacement for RO in removing dissolved salts.","False"
"MF is commonly used to protect RO membranes and help achieve lower RO fouling rates.","True"
