"Front","Back"
"Reverse osmosis (RO) is a ___-driven membrane process.","Pressure"
"The natural process of water moving from lower solute concentration to higher solute concentration is called ___.","Osmosis"
"The pressure that must be overcome in RO due to dissolved salts is called ___ pressure.","Osmotic"
"In RO, the applied pressure must be ___ than osmotic pressure to produce permeate.","Greater"
"The product water from RO is commonly called ___.","Permeate"
"The waste stream from RO is commonly called ___.","Concentrate"
"RO membranes used in water reuse are commonly ___-wound elements.","Spiral"
"Most modern RO membranes are thin-film composite (___) polyamide.","TFC"
"The driving force for water through RO is applied pressure minus ___ pressure.","Osmotic"
"The percent of salts removed by an RO membrane is called salt ___.","Rejection"
"Salt passage is the percent of salts that ___ into the permeate.","Pass"
"A common surrogate for TDS in RO monitoring is ___.","Conductivity"
"An increase in permeate ___ may indicate reduced salt rejection or membrane damage.","Conductivity"
"RO recovery is defined as permeate flow divided by ___ flow.","Feed"
"Increasing recovery generally increases scaling ___.","Risk"
"The buildup of solutes near the membrane surface is called concentration ___.","Polarization"
"Higher crossflow velocity can help reduce concentration ___.","Polarization"
"The pressure drop from feed end to concentrate end is called differential ___.","Pressure"
"A major type of RO fouling caused by microbial growth is called ___.","Biofouling"
"A major type of RO fouling caused by mineral precipitation is called ___.","Scaling"
"A chemical commonly added to reduce scaling is an ___.","Antiscalant"
"Lowering feed pH can reduce calcium carbonate scaling potential.","True"
"A common index used to indicate CaCO3 scaling tendency is ___.","LSI"
"If LSI is positive, water tends to be ___.","Scale-forming"
"Pretreatment upstream of RO often includes MF/UF to reduce ___ and colloids.","Turbidity"
"A common RO pretreatment index for particulate fouling potential is ___.","SDI"
"SDI stands for ___.","Silt Density Index"
"A lower SDI generally means RO feed ___ quality.","Better"
"Polyamide RO membranes are sensitive to ___ damage.","Chlorine"
"Upstream dechlorination is commonly performed using ___.","Sodium bisulfite"
"RO performance is often tracked using ___ permeate flow.","Normalized"
"Normalization commonly corrects for temperature, pressure, and feed ___.","Conductivity"
"When fouling increases, normalized permeate flow typically ___.","Decreases"
"When salt rejection worsens, normalized salt ___ increases.","Passage"
"RO cleaning is typically performed as a ___.","CIP"
"Acid cleaning is commonly used to remove ___ scale.","Inorganic"
"Caustic cleaning is commonly used to remove ___ and biofouling.","Organics"
"A common cleaning trigger is a certain percent decline in normalized ___.","Permeate flow"
"Another cleaning trigger is an increase in differential pressure by a specified ___.","Amount"
"RO membranes are installed in pressure vessels, often with ___ elements per vessel.","6"
"The first stage of RO usually sees the ___ feed pressure.","Highest"
"The concentrate stream typically has ___ TDS than the feed.","Higher"
"A pressure exchanger is most common in ___ RO.","Seawater"
"RO ___ remove dissolved salts.","Does"
"In potable reuse trains, RO is often followed by ___.","UV-AOP"
"RO is very effective at reducing ___.","Conductivity"
"Membrane flux refers to permeate flow per unit ___.","Area"
"Flux is often expressed in ___.","Flux units"
"A temperature-correction factor is used because water changes with ___.","Viscosity"
"RO primarily removes contaminants by a solution-___ mechanism.","Diffusion"
"Compared to MF, RO requires much ___ operating pressure.","Higher"
"A sudden increase in permeate conductivity could indicate a damaged ___ or O-ring leak.","Membrane element"
"The ratio of permeate flow to feed flow is called ___.","Recovery"
"RO concentrate disposal and management is often called brine ___.","Management"
