Front,Back
"What is the purpose of coagulation and flocculation?
a. control corrosion
b. to kill disease causing organisms
c. to remove leaves, sticks, and fish debris
d. *to remove particulate impurities and suspended matter",
"How are filter production (capacity) rates measured?
a. Mgd/sq.ft.
b. *Gpm/sq.ft.
c. Gpm
d. Mgd",
"How can an operator tell if a filter is NOT completely cleaned after backwashing?
a. *the initial headloss is on the high side
b. the backwash rate was too slow
c. mudballs are NOT present
d. backwashing pumping rate is too low
e. traditional plant
d. is located on the plant effluent line after the clearwell",
"What is the recommended loading rate for copper sulfate for algae control at an alkalinity greater than 50mg/L ?
a. 0.9lb of copper sulfate per acre of surface area
b. 1.9lb of copper sulfate per acre of surface area
c. 2-4 lb of copper sulfate per acre of surface area
d. .4lb of copper sulfate per acre of surface area",
"The two most common types of chlorine disinfection by-products include:
a. TTHM and HAA5
b. TTHA of HMM5
c. Turbidity and color
d. Chloride and fluoride",
"Water that is safe to drink is called water.
a. Potable
b. Palatable
c. Good
d. Clear",
"The type of organisms that can cause disease are said to be microorganisms.
a. Bad
b. Pathogenic
c. Undesirable
d. Sick",
"The basic goal for water treatment is to
a. Protect public health
b. Make it clear
c. Make it taste good
d. Get stuff out",
"Four types of aesthetic contaminants in water include the following:
a. Odor, turbidity, color, hydrogen sulfide gas
b. Pathogens, microorganisms, arsenic, disinfection by-products",
"What does mg/L stand for?
a. Microorganisms/Liter
b. Milligrams/Loser
c. Milligrams/Liter
d. None of the above",
"Disinfection by-products are a product of:
a. Filtration
b. Disinfection
c. Sedimentation
d. Adsorption",
"Acute contaminants are those that can cause sickness after:
a. Prolonged exposure
b. Low levels or low exposure",
"Chronic contaminants are those that can cause sickness after:
a. Prolonged exposure
b. Low levels or low exposure",
"TTHMs and HAA5s can affect:
a. Health
b. Aesthetics
c. Color
d. Odor",
"Oxidation, coagulation, and disinfection are processes.
a. Physical
b. Chemical
c. Biological
d. Mechanical",
"Flocculation, sedimentation, filtration, and adsorption are processes.
a. Physical
b. Chemical
c. Biological
d. Mechanical",
"A precipitate can be formed after which one of the following processes:
a. Oxidation
b. Flocculation
c. Filtration
d. Adsorption",
"Giardia and cryptosporidium are a type of:
a. Mineral
b. Organism
c. Color
d. Bird",
