"Front","Back"
"California Title 22 regulations govern recycled water criteria and uses in California.","True"
"Title 22 applies only to drinking water systems and not to recycled water.","False"
"Title 22 establishes treatment and monitoring requirements for recycled water used for groundwater recharge.","True"
"Title 22 is administered by the California Department of Public Health, now the Division of Drinking Water (DDW).","True"
"Title 22 requirements are intended to protect public health.","True"
"Advanced treated recycled water used for potable reuse must meet Title 22 requirements.","True"
"Title 22 requires multiple treatment barriers for potable reuse projects.","True"
"Microfiltration or ultrafiltration is commonly a required barrier under Title 22 for potable reuse.","True"
"Reverse osmosis is commonly required under Title 22 for indirect potable reuse projects.","True"
"UV advanced oxidation (UV-AOP) is commonly required as a treatment barrier under Title 22.","True"
"Title 22 specifies minimum log removal values (LRVs) for pathogens.","True"
"Title 22 includes requirements for virus, Giardia, and Cryptosporidium removal or inactivation.","True"
"All pathogen log removal credit under Title 22 can be assigned to a single treatment process.","False"
"Title 22 requires redundancy and reliability in treatment processes.","True"
"Title 22 requires continuous monitoring of certain critical control parameters.","True"
"Turbidity monitoring is commonly required under Title 22 for membrane processes.","True"
"Title 22 requires integrity monitoring for membrane filtration systems.","True"
"Failure to meet membrane integrity criteria may result in loss of pathogen removal credit.","True"
"Title 22 allows off-spec water to be delivered for potable use without restriction.","False"
"Title 22 requires diversion of off-spec water.","True"
"Title 22 includes requirements for operator training and certification.","True"
"Title 22 requires facilities to have an Operations and Maintenance (O&M) plan.","True"
"Title 22 requires emergency response and contingency planning.","True"
"Title 22 requires reporting of compliance data to regulatory agencies.","True"
"Title 22 requires recordkeeping for treatment performance and monitoring data.","True"
"Title 22 establishes water quality criteria such as turbidity and total coliform.","True"
"Title 22 does not address recycled water uses such as irrigation or industrial reuse.","False"
"Different recycled water uses under Title 22 have different treatment requirements.","True"
"Title 22 requires higher treatment levels for unrestricted reuse than restricted reuse.","True"
"Title 22 prohibits all use of recycled water for groundwater recharge.","False"
"Title 22 requires continuous disinfection for certain classes of recycled water.","True"
"Title 22 allows performance-based criteria in addition to prescriptive requirements.","True"
"Regulatory approval is required before operating a Title 22 recycled water facility.","True"
"Title 22 requires validation of advanced treatment processes for potable reuse.","True"
"Title 22 includes requirements for alarm systems and operator notification.","True"
"Title 22 requires critical treatment processes to be monitored in real time when feasible.","True"
"Title 22 requires corrective actions when treatment performance criteria are not met.","True"
"Title 22 compliance is verified through inspections, audits, and data review.","True"
"Title 22 requirements are identical for all potable reuse projects regardless of location.","False"
"Title 22 works in conjunction with other regulations such as the Water Code and Title 17.","True"
"Title 22 is periodically updated to reflect advances in treatment technology.","True"
"Title 22 emphasizes multiple barriers and fail-safe design.","True"
"Compliance with Title 22 helps reduce public health risk associated with recycled water use.","True"
"Title 22 eliminates the need for ongoing monitoring once a system is approved.","False"
"Title 22 is a key regulatory foundation for potable reuse projects in California.","True"
