Front,Back
"Water with a pH of 8.0 is considered to be
a. acidic
b. basic or alkaline
c. neutral
d. undrinkable",b. basic or alkaline
"Over which water quality indicator do operators have the greatest
a. alkalinity
b. pH
c. temperature
d. turbidity",d. turbidity
"Which pH range is generally accepted as most palatable (drinkable)?
a. 6.5 to 8.5
b. 4.5 to 6.5
c. 8.5 to 9.5
d. 9.5 and above
e. all of the above",a. 6.5 to 8.5
"Which of the following conditions is favorable for the rapid growth
a. moderate to high dissolved oxygen and nutrients
b. high pH and water hardness
c. low temperatures and low dissolved oxygen
d. high alkalinity and water hardness",a. moderate to high dissolved oxygen and nutrients
"Water has physical, chemical, and biological characteristics. Which
a. Coliform
b. Turbidity
c. Hardness
d. All the above",b. Turbidity
"Tastes and odors in surface water are most often caused by:
a. clays
b. hardness
c. algae
d. coliform bacteria",c. algae
"Which of the following elements cause hardness in water?
a. sodium and potassium
b. calcium and magnesium
c. iron and manganese
d. turbidity and suspended solids",b. calcium and magnesium
"When measuring for free chlorine residual, which method is the
a. DPD color comparater
b. Orthotolidine method
c. Amperometric titration
d. 1, 2 nitrotoluene di-amine method",a. DPD color comparater
"Which water quality parameter requires a grab sample because it
a. pH
b. Iron
c. Nitrate
d. Zinc",a. pH
"If a water sample is not analyzed immediately for chlorine residual,
a. 10 minutes.
b. 15 minutes.
c. 20 minutes.
d. 30 minutes.",b. 15 minutes.
"The volume of a sample for coliform compliance is
a. 100 mL.
b. 200 mL.
c. 300 mL.
d. 0 ; there is no volume compliance for coliforms.",a. 100 mL.
"Which of the following is an indicator organism?
a. Giardia
b. Cryptosporidium
c. Hepatitis
d. E. Coli",d. E. Coli
"What is the primary origin of coliform bacteria in water supplies?
a. Natural algae growth
b. Industrial solvents
c. Animal or human feces
d. Acid rain",c. Animal or human feces
"What ls the term for water samples collected at regular intervals
a. Time grab samples
b. Time flow samples
c. Proportional time composite samples",a. Time grab samples
"What is the basis for the number of samples that must be collected
a. Size of distribution system
b. Population
c. Amount of water produced
d. Number of raw water sources",b. Population
"Where should bacteriological samples be collected in the
a. Uniformly distributed throughout the system based on area
b. At locations that are representative of conditions within the
c. Always from extreme locations in the system but occasionally at
d. Uniformly throughout the system based on population density",a. Uniformly distributed throughout the system based on area
"The quantity of oxygen. that can remain dissolved in water is
a. Temperature
b. pH
c. Turbidity
d. Alkalinity",a. Temperature
"In coliform analysis using the presence-absence test, a sample
a. 24 hours at 25^(∘)C
b. 36 hours at 35^(∘)C
c. 24 and 36 hours at 25^(∘)0
d. 24 and 48 hours at 35^(∘)C",d. 24 and 48 hours at 35^(∘)C
"A major source of error when obtaining water quality information is
a. Sampling
b. Preservation
c. Tests of samples
d. Reporting of data",a. Sampling
"What is commonly used as an indicator of potential contamination in
a. Viruses
b. Coliform bacteria
c. Intestinal parasites
d. Pathogenic organisms",b. Coliform bacteria
"The type of organisms that can cause disease are said to be
a. Bad
b. Pathogenic
c. Undesirable
d. Sick",b. Pathogenic
"Four types of aesthetic contaminants in water include the following:
a. Odor, turbidity, color, hydrogen sulfide gas
b. Pathogens, microorganisms, arsenic, disinfection by-products
c. Odor, color, turbidity, hardness
d. Color, pathogens, metals, organics","c. Odor, color, turbidity, hardness"
"What is the purpose of adding fluoride to drinking water?
a. Increase tooth decay
b. Reduce tooth decay
c. Make teeth white
d. Government conspiracy",b. Reduce tooth decay
"The test used to determine the effectiveness of disinfection is
a. Coliform bacteria test
b. Color test
c. Turbidity test
d. Particle test",a. Coliform bacteria test
"Turbidity is measured as:
a. mg/L
b. mL
c. gpm
d. NTU",d. NTU
"Giardia and cryptosporidium are a type of:
a. Mineral
b. Organism
c. Color
d. Bird",b. Organism
"Chronic contaminants are those that can cause sickness after:
a. Prolonged exposure
b. Low levels or low exposure",a. Prolonged exposure
"A positive total coliform test indicates that:
a. Disease-causing organisms may be present in the water supply
b. The water is safe to consume
c. The water supply has high iron levels
d. There is nothing to be concerned about",a. Disease-causing organisms may be present in the water supply
"What is the purpose of the bacteriological site sampling plan?
a. To have a map showing where BacT samples are drawn
b. In case of a positive Bac T sample, the operator will know where
c. The state will know where you are taking your repeat samples
d. All of the above",d. All of the above
"To ensure that the water supplied by a public water system meets
a. Have water analyzed at an approved water testing laboratory
b. Determine a sampling schedule based on state requirements
c. Send all analyses results to the state
d. All of the above",d. All of the above
"Samples taken for routine bacteriological testing should be
a. Freezing
b. Boiling
c. DPD preservative
d. Refrigeration",d. Refrigeration
"How many coliform samples are required per month for a water system
a. 1
b. 2
c. 3
d. 4",a. 1
"Before taking a bacteriological (BacT) water sample from a faucet,
a. Wash hands thoroughly
b. Remove the faucet aerator
c. Flush water until you’re sure water is from the main, not the
d. All of the above",d. All of the above
"Monthly BacT samples should be taken from:
a. The well pump house
b. The distribution system
c. The treatment plant
d. An outside hose spigot",b. The distribution system
"If your BacT sample test is positive, how long do you have to
a. 12 hours
b. 24 hours
c. 48 hours
d. 72 hours",b. 24 hours
