Front,Back
"Name the valve sometimes found on the suction side of a centrifugal pump where water enters the casing:
a. Check valve
b. Gate valve
c. Altitude valve
d. Pressure relief valve
e. Foot valve",e. Foot valve
"After a pump is shut off but continues to run backwards, this indicates:
a. The bearings are failing
b. The packing needs tightening
c. The main lock nut needs tightening
d. The check valve is leaking
e. A valve on the discharge side is shut",d. The check valve is leaking
"Wear rings are installed in a pump to:
a. Hold the shaft in position
b. Keep the impeller in place
c. Concentrate wear on an economically replaceable part
d. Wear out the sleeve",c. Concentrate wear on an economically replaceable part
"Head is measured in:
a. Absolute pressure
b. Gauge pressure
c. Feet
d. Foot-pounds",c. Feet
"To ease installation of impeller wear rings, they can be:
a. Lubricated with light oil
b. Greased with lithium
c. Heated
d. Cooled",c. Heated
"Packing is designed to:
a. Add lubricant to the shaft
b. Expand and deteriorate with normal use
c. Protect the shaft
d. Wear and deteriorate with normal use",d. Wear and deteriorate with normal use
"Bearings on a line-shaft turbine can be lubricated with:
a. Oil or water
b. Grease or oil
c. Lithium or grease
d. Graphite or grease",a. Oil or water
"Packing replacement is usually performed when:
a. Water leakage sprays from the housing
b. No further tightening will control leakage at the packing gland
c. Gland bolts are more than 2.5 inches above the nut
d. Packing has completely disintegrated",b. No further tightening will control leakage at the packing gland
"Which is at the top of a stuffing box?
a. Packing gland
b. Lantern ring
c. Mechanical seal
d. Seal cage",a. Packing gland
"Which assembly holds the lantern ring and packing?
a. Shaft assembly
b. Casing ring assembly
c. Packing gland casing
d. Stuffing box",d. Stuffing box
"Which prevents the impeller from turning on the shaft?
a. Lock nut on threaded shaft
b. Key
c. Steel pin
d. Caliper pin",b. Key
"Which device serves the same function as packing?
a. Inline suction gland
b. Packing gland
c. Mechanical seal
d. Lantern seal",c. Mechanical seal
"For water-lubricated vertical turbine pumps, do not start before ensuring:
a. Discharge valve is open
b. Bearings are dry
c. Suction valve is closed
d. Bearings are wet",d. Bearings are wet
"The head against which a pump must operate:
a. Equals static head plus friction head
b. Must be above shut-off head
c. Is the static head
d. Is the friction head",a. Equals static head plus friction head
"Condition when the source is below the pump centerline:
a. Pressure head
b. Velocity head
c. Suction lift
d. Total discharge head",c. Suction lift
"Most common use for a positive-displacement pump today:
a. Raw water intake
b. System booster
c. Chemical feed
d. Filter feed",c. Chemical feed
"Pumping with impeller eye above water is called:
a. Dry well
b. Suction head
c. Wet well
d. Suction lift",d. Suction lift
"The force that moves water in an end-suction centrifugal pump is:
a. Pressure
b. Centrifugal
c. Velocity
d. Kinetic",b. Centrifugal
"__ is the loss of energy due to friction.
a. Velocity loss
b. Headloss
c. Elevation loss
d. Pump loss",b. Headloss
"As water travels around the volute, the energy shifts from:
a. High velocity head to low PSI
b. Low velocity head to high PSI
c. Low velocity head to low PSI
d. High velocity head to high PSI",b. Low velocity head to high PSI
"Part of an end-suction pump that collects flow from the impeller:
a. Shaft
b. Packing
c. Suction head
d. Volute",d. Volute
"Head as energy by virtue of position/state is:
a. Velocity
b. Potential
c. Kinetic
d. Pressure",b. Potential
"Impeller with no shrouds, used for large solids:
a. Semi-open
b. Open
c. Closed
d. Very-closed",b. Open
"Pump station design with impeller eye submerged:
a. Dry well
b. Suction head
c. Wet well
d. Suction lift",c. Wet well
"The discharge valve on a pump may be closed briefly (e.g., startup) for which pump type?
a. Piston
b. Progressive cavity
c. Diaphragm
d. Dynamic (centrifugal)",d. Dynamic (centrifugal)
"Velocity is measured in:
a. Inches per second
b. PSI
c. Feet per second
d. Yards per second",c. Feet per second
"Impeller with shrouds on both sides for clean liquids:
a. Semi-open
b. Open
c. Closed
d. Very-closed",c. Closed
"To change the discharge of a positive-displacement pump, change the:
a. Speed
b. Discharge valve
c. Suction valve
d. Rotation",a. Speed
"Which component prevents leakage from discharge to suction?
a. Lantern ring
b. Volute
c. Wear ring
d. Shaft sleeve",c. Wear ring
"Mechanical seals are installed because:
a. Packing requires leakage that seals eliminate
b. Seals prevent cross connections
c. Seals allow more misalignment than packing
d. Packing is unavailable",a. Packing requires leakage that seals eliminate
"Major cause of pump–motor coupling wear:
a. Discharge pressure too high
b. Low suction pressure
c. Misalignment
d. Worn seal",c. Misalignment
"Discharge of a piston-type pump:
a. Constant as rpm changes
b. Constant at constant speed (fixed volume per stroke)
c. Varies inversely with head
d. Varies with TDH",b. Constant at constant speed (fixed volume per stroke)
"Electrical current is measured in:
a. Amperes
b. Ohms
c. Volts
d. Watts",a. Amperes
"A “pinging/rocks” sound in a pump is most likely:
a. Descaling
b. Cavitation
c. Corrosion
d. Hardness",b. Cavitation
"Bearings excessively hot are most likely due to:
a. Over-lubrication
b. Speed too slow
c. Worn impeller
d. Worn packing",a. Over-lubrication
"Leakage past packing is required because it acts as a:
a. Adhesive
b. Coolant
c. Corrosion inhibitor
d. Scale inhibitor",b. Coolant
"Sudden rise in discharge pressure with drop in flow most likely due to:
a. Discharge valve closed
b. Suction valve closed
c. Amperage decreased
d. Voltage increased",a. Discharge valve closed
"Difference between free-water surfaces (pump off) is:
a. Suction lift
b. Total dynamic head
c. Discharge head
d. Friction loss
e. Total static head",e. Total static head
"Static suction head + suction friction + static discharge head + discharge friction equals:
a. Pump curve
b. Operating pressure
c. Efficiency
d. Total dynamic head
e. Velocity head",d. Total dynamic head
"Pumps are primed to:
a. Replace air inside the pump with water
b. Seat the valves
c. Wet the packing
d. Provide test water
e. Overcome positive suction head",a. Replace air inside the pump with water
"Backspin after well shutdown indicates:
a. High water table
b. Low water table
c. Confined aquifer
d. Faulty check valve
e. Leak in sanitary seal",d. Faulty check valve
"A water seal on a pump also:
a. Cools bearings
b. Keeps grit out of the packing box
c. Keeps pump primed
d. Serves as reserve supply
e. Prevents cavitation",b. Keeps grit out of the packing box
"Enclosed, open, and semi-closed refer to:
a. Impellers
b. Lantern rings
c. Sleeves
d. Stuffing boxes",a. Impellers
"Device that converts electrical to mechanical energy:
a. Motor
b. Generator
c. Transformer
d. Battery
e. Pump",a. Motor
"If a pump sounds like pumping rocks, the cause is:
a. Cavitation
b. Corrosion
c. Overtight packing
d. Misalignment
e. Seal wear",a. Cavitation
"The purpose of packing in a centrifugal pump is (among options given):
a. None of the above",a. None of the above
"Which of the following is a positive-displacement pump?
a. Air lift
b. Centrifugal
c. Reciprocating
d. Turbine
e. All of the above",c. Reciprocating
"Practical maximum suction lift for a centrifugal pump in good condition:
a. 0 ft
b. 2.31 ft
c. 14.7 ft
d. 20–25 ft",d. 20–25 ft
"The linkage between pump and motor is the:
a. Coupling
b. Impeller
c. Bearings
d. Volute
e. Stator",a. Coupling
"Electrical equivalent to friction in water lines:
a. Voltage
b. Resistance
c. Amperage
d. Capacitance
e. Inductance",b. Resistance
"Main water-containing body of a centrifugal pump:
a. Shaft
b. Impeller
c. Bearings
d. Volute
e. Stator",d. Volute
"Pump type with very high flow at low head:
a. Radial flow
b. Axial flow
c. Vertical turbine
d. Piston
e. Mixed flow",b. Axial flow
"Alternating current is produced by a:
a. Single battery
b. Batteries in series
c. Batteries in parallel
d. Solenoid
e. Generator",e. Generator
"Electrical transformers:
a. Step up/down current
b. Step up/down voltage
c. Increase power output
d. Decrease power output
e. Reduce resistance",b. Step up/down voltage
"An open electrical circuit has:
a. Low resistance
b. High power
c. Low capacitance
d. High conductivity
e. Zero amperage",e. Zero amperage
"Adding stages (bowls) to a deep-well turbine pump will:
a. Increase discharge capacity
b. Decrease discharge capacity
c. Increase discharge pressure
d. Decrease discharge pressure
e. None of the above",c. Increase discharge pressure
"When installing packing, joints should be:
a. In line
b. Pre-heated
c. Staggered 90^(∘)
d. Soaked overnight
e. Re-used",c. Staggered 90^(∘)
"U.S. standard line frequency:
a. 50 Hz
b. 60 Hz
c. 110 Hz
d. 120 Hz
e. 240/480 Hz",b. 60 Hz
"Compared with packing, mechanical seals:
a. Require no adjustment
b. Do not leak
c. Are generally more expensive
d. Are harder to replace
e. All of the above",e. All of the above
"Reservoir is 200 ft above main; standpipe shows 185 ft at same elevation. Therefore:
a. No flow
b. Flow into reservoir
c. Flow out of reservoir
d. Nearby pump station
e. Indeterminate",c. Flow out of reservoir
"Motors draw more power at starting because:
a. Check valves must open
b. Water must be accelerated
c. Pump/motor must start turning
d. All of the above",d. All of the above
"Which does not affect friction loss in a given length of pipe?
a. Water hardness
b. Number of fittings
c. Pipe interior roughness
d. Flow velocity",a. Water hardness
"The inlet to a pump is the:
a. Suction
b. Volute
c. Impeller
d. Effluent",a. Suction
"The rotating element in a centrifugal pump is the:
a. Fan
b. Impeller
c. Rotor
d. Volute",b. Impeller
"Positive-displacement pumps should be operated with:
a. Both valves closed
b. Suction and discharge valves open
c. Suction closed, discharge open
d. Suction open, discharge closed",b. Suction and discharge valves open
"Check alignment between two shafts using a:
a. Caliper
b. Micrometer
c. Straightedge
d. Feeler gauge",c. Straightedge
"Most commonly used pump for high-capacity wells:
a. Air lift
b. Centrifugal
c. Positive displacement
d. Plunger
e. None of the above",b. Centrifugal
"A vertical turbine is a(n):
a. Centrifugal pump
b. Parshall flume
c. Positive displacement pump
d. Reciprocating pump
e. All of the above",a. Centrifugal pump
"Packing ring joints should be:
a. Placed in line
b. Next to motor
c. Next to pump
d. Staggered",d. Staggered
"If packing has slight leakage during operation, you should:
a. Shut down immediately
b. Tighten packing gland
c. Lubricate gland
d. Decrease speed and head
e. Do nothing (slight leakage is normal)",e. Do nothing (slight leakage is normal)
"If bearings are still hot after lubrication checks, next step:
a. Replace bearings
b. Operate only when needed
c. Clean the pump
d. Recheck TDH
e. Inspect alignment of pump and motor",e. Inspect alignment of pump and motor
"If a wastewater pump is shut down long-term, proper step is to lock out the disconnect and shut valves both sides.
a. True
b. False",b. False
"Centrifugal pump parts include:
a. Diaphragm
b. Impeller
c. Piston
d. Rotor",b. Impeller
"Where does wear most frequently occur on a plunger pump?
a. Cylinder
b. Rotor
c. Stators
d. Volute",a. Cylinder
"Easiest way to tell progressive-cavity wear (capacity loss):
a. Time a 20-L fill from a tap
b. Measure discharge pressure with valves open while pumping
c. Disassemble and measure parts
d. Deadhead and measure pressure",b. Measure discharge pressure with valves open while pumping
"A centrifugal pump vibrates and is noisy—most probable cause:
a. Impeller too small
b. Foot valve too small
c. Dirt/grit in seal water
d. Air in the pump",d. Air in the pump
"With pump running and reduced station discharge; impeller clear; level sensors OK — most likely cause:
a. Improper packing
b. Misaligned belt drives
c. Pump air-bound
d. None of the above",c. Pump air-bound
"Excessive leakage around plunger-pump shafts/plungers indicates:
a. Pumping against too great a head
b. Excessive wear of shaft/plunger
c. Eccentric needs replacement
d. Ball checks need replacement",b. Excessive wear of shaft/plunger
"With two identical pumps, best control strategy is:
a. One does most work; other occasional
b. Alternate operation
c. Both start together
d. None of the above",b. Alternate operation
"A positive-displacement sludge pump should never be placed into operation:
a. Without being primed
b. With the discharge valve closed
c. With the discharge valve opened
d. None of the above",b. With the discharge valve closed
"Before repairing a pump’s electrical circuit, you should: lock)
a. Lockout/tagout the breaker (disconnect, tag “Do Not Activate,”
b. Notify supervisor
c. Tell operators not to activate
d. Turn pump off","a. Lockout/tagout the breaker (disconnect, tag “Do Not Activate,”"
"Pump maintenance includes:
a. Check bearing temperature
b. Check packing gland
c. Alternate identical pumps to equalize wear
d. All of the above",d. All of the above
"Internal leakage in a centrifugal pump is prevented by:
a. Impellers
b. Sleeves
c. Volutes
d. Wear rings",d. Wear rings
"With rope packing, a slow drip at the gland indicates:
a. Tighten gland
b. Loosen gland
c. Proper adjustment
d. Replace packing",c. Proper adjustment
"Maximum elevation (practical suction lift) above source should not exceed:
a. 2.2 ft
b. 22 ft
c. 200 ft
d. 224 ft",b. 22 ft
"Vertical distance between free water surfaces at suction and discharge is:
a. Discharge head
b. Dynamic head
c. Velocity head
d. Static head",d. Static head
"In electrical circuits, a device used to reduce voltage is a:
a. Ammeter
b. Transducer
c. Transformer
d. Voltmeter",c. Transformer
"If back-pressure drops too low and the pump runs long, then:
a. Efficiency drops and the pump heats up
b. No water will flow
c. Lubricants disperse better
d. Water hammer occurs upstream",a. Efficiency drops and the pump heats up
"Connect a motor to a pump using a:
a. Sleeve clamp
b. Coupling
c. Mechanical seals
d. Baling wire and tape",b. Coupling
"Good application for a peristaltic pump:
a. Booster pump
b. Well pump
c. Chemical feed pump
d. Air compressor",c. Chemical feed pump
"Component in a diaphragm pump with most maintenance issues:
a. Shaft
b. Check valves
c. Diaphragm
d. Pump head",c. Diaphragm
"The shaft’s main function is to transmit:
a. Centrifugal force
b. Kinetic energy
c. Thrust
d. Torque",d. Torque
"Simplest AC motor; rotor is bars in slots (“cage”):
a. Squirrel-cage
b. Wound-rotor
c. Capacitor-start
d. Synchronous",a. Squirrel-cage
"Valve used to maintain pump prime:
a. Suction
b. Foot
c. Vacuum header
d. Butterfly",b. Foot
"Which characteristic is shown on a pump curve:
a. Wire-to-water horsepower
b. Motor horsepower
c. Friction loss
d. Efficiency",d. Efficiency
"Motor type for quick acceleration with infrequent starting:
a. Repulsion–induction
b. Capacitor-start
c. Wound-rotor
d. Synchronous",b. Capacitor-start
"Pump used to increase pressure in large distribution systems:
a. Positive displacement
b. Progressive cavity
c. Vertical turbine (centrifugal booster)
d. Airlift",c. Vertical turbine (centrifugal booster)
"Pump type most used by public water systems:
a. Piston
b. Velocity (centrifugal)
c. Positive-displacement
d. Archimedes",b. Velocity (centrifugal)
"Maximum practical suction lift (general):
a. 5–15 ft
b. 15–25 ft
c. 30–40 ft
d. 45–55 ft",b. 15–25 ft
"Pump with rotating impellers in a case:
a. Axial-flow
b. Centrifugal
c. Jet
d. Mixed-flow",b. Centrifugal
"Best valve to dampen water hammer:
a. Pressure-relief
b. Needle
c. Pressure-reducing
d. Pinch",a. Pressure-relief
