Front,Back
"The primary goal of advanced water treatment is to:
a. Produce high-quality water that meets specific use or regulatory requirements
b. Reduce pipe breaks in the distribution system
c. Eliminate all minerals from water
d. Increase pumping efficiency",Answer: a. Produce high-quality water that meets specific use or regulatory requirements
"The term “feedwater” in advanced treatment typically refers to:
a. Water entering a treatment process such as MF or RO
b. Only finished water entering the distribution system
c. Only raw surface water
d. Water used for backwashing",Answer: a. Water entering a treatment process such as MF or RO
"Recovery in a membrane process is defined as:
a. Permeate flow divided by feed flow
b. Concentrate flow divided by feed flow
c. Feed flow divided by permeate flow
d. Permeate flow divided by concentrate flow",Answer: a. Permeate flow divided by feed flow
"Specific flux is usually expressed as:
a. Permeate flow per unit membrane area per unit driving force
b. Feed flow per unit membrane area
c. Permeate flow per unit time only
d. Concentrate flow per unit pressure",Answer: a. Permeate flow per unit membrane area per unit driving force
"In advanced treatment, “fouling” generally means:
flow
a. Accumulation of material on membranes or media that restricts
b. Short-term air entrainment
c. Intentional scaling for corrosion control
d. Movement of water between stages",Answer: a. Accumulation of material on membranes or media that restricts
"A pilot study is conducted primarily to:
a. Evaluate process performance under site-specific conditions
b. Replace the need for operator training
c. Demonstrate compliance without monitoring
d. Eliminate the need for maintenance",Answer: a. Evaluate process performance under site-specific conditions
"A process control diagram (P&ID) shows:
a. Piping, valves, instruments, and control loops
b. Only electrical wiring
c. Only building layouts
d. Only hydraulic grade lines","Answer: a. Piping, valves, instruments, and control loops"
"In an advanced treatment facility, the term “intermediate storage”
usually refers to:
a. A tank between process steps used for flow equalization
b. Finished water storage only
c. Sludge storage tanks
d. Chemical day tanks",Answer: a. A tank between process steps used for flow equalization
"A typical reason to add advanced treatment to conventional treatment
is to:
a. Remove trace organics, salts, or microconstituents
b. Reduce hardness only
c. Simplify operations
d. Eliminate the need for disinfection","Answer: a. Remove trace organics, salts, or microconstituents"
"An advanced water treatment train is commonly arranged as:
a. Pretreatment → MF/UF → RO → UV/AOP → Post-treatment
b. RO → MF/UF → Sedimentation → Disinfection
c. Disinfection → Coagulation → RO
d. UV → Storage → Coagulation",Answer: a. Pretreatment → MF/UF → RO → UV/AOP → Post-treatment
"Corrective maintenance is:
a. Work performed after a failure or problem occurs
b. Work scheduled to prevent failures
c. Work done only during construction
d. Work limited to electrical systems",Answer: a. Work performed after a failure or problem occurs
"Predictive maintenance relies on:
a. Condition monitoring data to anticipate problems
b. Random inspections only
c. Emergency call-outs
d. Annual shutdowns only",Answer: a. Condition monitoring data to anticipate problems
"A safety data sheet (SDS) provides:
chemicals
a. Hazard information, handling, and first aid instructions for
b. Electrical wiring diagrams
c. Process control strategies
d. Building codes","Answer: a. Hazard information, handling, and first aid instructions for"
"The most important factor in avoiding chemical mixing accidents is:
a. Clear labeling and dedicated transfer equipment
b. High-pressure pumps
c. Using only powdered chemicals
d. Minimizing operator training",Answer: a. Clear labeling and dedicated transfer equipment
"In an emergency shutdown, the operator should first:
a. Ensure personnel safety and secure hazardous energy
b. Immediately start all standby pumps
c. Drain all chemical tanks
d. Increase flow to clear lines",Answer: a. Ensure personnel safety and secure hazardous energy
