Front,Back
"Chlorine gas is times heavier than breathing air
a. 2.5
b. 20
c. 60
d. 460",a. 2.5
"A commonly used method to test for chlorine residual in water is called the method.
a. HTH
b. THM
c. VOC
d. DPD",d. DPD
"When chlorine gas is added to water the pH goes down due to
a. chlorine gas producing caustic substances
b. two base materials that form
c. two acids that form
d. caustic soda being formed in the water",c. two acids that form
"Disinfection by-products are a product of:
a. Filtration
b. Disinfection
c. Sedimentation
d. Adsorption",b. Disinfection
"Secondary disinfectants are used to provide a ___ in the distribution system.
a. Color
b. Chemical
c. Smell
d. Residual",d. Residual
"Primary disinfectants are used to _____ microorganisms.
a. Hurt
b. Inactivate
c. Burn up
d. Evaporate",b. Inactivate
"The quantity of chlorine remaining after primary disinfection is called a ___ residual.
a. Chlorine
b. Permanganate
c. Hot
d. Cold",a. Chlorine
"The two most common types of chlorine disinfection by-products include:
a. TTHM and HAA5
b. TTHA and HMM5
c. Turbidity and color
d. Chloride and fluoride",a. TTHM and HAA5
"To determine effectiveness of disinfection, maintain a disinfectant residual of at least __ mg/L entering the distribution system.
a. 0.10
b. 0.5
c. 0.3
d. 0.2",d. 0.2
"A ___ residual of chlorine is required throughout the system.
a. Large
b. High
c. Trace
d. Hot",c. Trace
"The test used to determine the effectiveness of disinfection is called the:
a. Coliform bacteria test
b. Color test
c. Turbidity test
d. Particle test",a. Coliform bacteria test
"Name two methods commonly used to disinfect drinking water other than chlorination.
a. Ozone and ultraviolet light
b. Soap and agitation
c. Filtration and adsorption
d. Salt and vinegar",a. Ozone and ultraviolet light
"Name the two types of hypochlorites used to disinfect water.
a. Chloride and monochloride
b. Sodium and calcium
c. Ozone and hydroxide
d. Arsenic and manganese",b. Sodium and calcium
"Free chlorine can only be obtained after ___ chlorination has been achieved.
a. Breakpoint
b. Fastpoint
c. Softpoint
d. Onpoint",a. Breakpoint
"The meaning of the ""C"" and the ""T"" in the term CT stands for:
a. Concentration and time
b. Color and turbidity
c. Calcium and tortellini
d. Chlorine and turbidity",a. Concentration and time
"Chloramine is most effective as a disinfectant
a. Primary
b. Secondary
c. Third
d. First",b. Secondary
"TTHMs and HAA5s can affect:
a. Health
b. Aesthetics
c. Color
d. Odor",a. Health
"The multiple barrier treatment approach includes
a. Sterilization and filtration
b. Disinfection and filtration
c. Disinfection and sterilization
d. Infection and filtration",b. Disinfection and filtration
"The maximum disinfectant residual allowed for chlorine in a water system is
a. 0.02 mg/L
b. 2.0 mg/L
c. 3.0 mg/L
d. 4.0 mg/L",d. 4.0 mg/L
"What is the disinfectant byproduct caused by ozonation?
a. Trihalomethanes
b. Bromate
c. Chlorite
d. No DBP formation",b. Bromate
"Haloacetic Acids are also known as
a. TTHM
b. HOCl
c. Chlorite
d. HAA5",d. HAA5
"What is the MCL for trihalomethanes?
a. 0.10 mg/L
b. 0.06 mg/L
c. 0.08 mg/L
d. 0.12 mg/L",c. 0.08 mg/L
"What is the MCL for Haloacetic Acids?
a. 100 ppb
b. 60 ppb
c. 80 ppb
d. 120 ppb",b. 60 ppb
"What is the MCL for bromate?
a. 0.010 mg/L
b. 0.020 mg/L
c. 0.030 mg/L
d. 0.040 mg/L",a. 0.010 mg/L
"What is residual chlorine?
a. Chlorine used to disinfect
b. The amount of chlorine after the demand has been satisfied
c. The amount of chlorine added before disinfection
d. Film left on DPD kit to measure residual",b. The amount of chlorine after the demand has been satisfied
"When chlorine reacts with natural organic matter in water it can create
a. Disinfection by-products
b. Coliform bacteria
c. Chloroform
d. Calcium",a. Disinfection by-products
"What are trihalomethanes classified as
a. Salts
b. Inorganic compounds
c. Volatile organic compounds
d. Radio",c. Volatile organic compounds
"What disinfectant is used for emergency purposes and not utilized in the water treatment industry?
a. Chlorine
b. Iodine
c. Ozone
d. Chlorine Dioxide",b. Iodine
"What is the disinfectant with the least killing power but that has the longest lasting residual?
a. Chlorine
b. Ozone
c. Chlorine Dioxide
d. Chloramines",d. Chloramines
"The active ingredient in household bleach is
a. Calcium hypochlorite
b. Calcium hydroxide
c. Sodium hypochlorite
d. Sodium hydroxide",c. Sodium hypochlorite
"Cryptosporidium is not resistant to this chemical
a. Ozone
b. Chlorine Dioxide
c. Chlorine
d. Both A & B",d. Both A & B
"If a coliform test is positive, how many repeat samples are required at a minimum?
a. None
b. 1
c. 3
d. Depends on the severity of the positive sample",c. 3
"Your water system takes 75 coliform tests per month. This month there were 6 positive samples. What is the percentage of samples which tested positive? Did your system violate regulations?
a. 3% Yes
b. 5% No
c. 8% Yes
d. 10% No",c. 8% Yes
"The form of chlorine which is 100% available chlorine is
a. Sodium hypochlorite
b. Calcium hypochlorite
c. Calcium hydroxide
d. Gaseous chlorine",d. Gaseous chlorine
"What is the minimum amount of chlorine residual required in the distribution system?
a. There is no minimum
b. mg/L
c. 0.2 mg/L
d. mg/L",c. 0.2 mg/L
"What is the approximate pH range of sodium hypochlorite?
a. 4–5
b. 6–7
c. 9–11
d. 12–14",d. 12–14
"What is the typical concentration of sodium hypochlorite utilized in water treatment?
a. 5%
b. 65%
c. 100%
d. 12.5%",d. 12.5%
"Chlorine demand refers to
a. Chlorine in the system for a given time
b. The difference between chlorine applied and chlorine residual
c. Chlorine needed to produce a higher pH
d. None of the above",b. The difference between chlorine applied and chlorine residual
"What is the most effective chlorine disinfectant?
a. Dichloramine
b. Trichloramine
c. Hypochlorite ion
d. Hypochlorous acid",d. Hypochlorous acid
"What kind of solution is used to check for a gas chlorine leak?
a. Sodium hydroxide
b. Ozone
c. Ammonia
d. Calcium hypochlorite",c. Ammonia
"Chlorine is
a. Heavier than air
b. Lighter than air
c. Brown in color
d. not harmful to your health",a. Heavier than air
"Chlorine demand may vary due to
a. Chlorine demand always stays the same
b. Temperature
c. pH
d. Both B and C",d. Both B and C
"What effect does high turbidity have on disinfection? some time
a. It can increase chlorine demand
b. It has no effect
c. It gives the water a milky appearance that will clear out after
d. You must increase the temperature of the water",a. It can increase chlorine demand
"What is the target chlorine:ammonia ratio?
a. 2:1
b. 3:1
c. 4:1
d. 5:1",d. 5:1
"What is the MCL for Nitrates?
a. 1 ppm
b. 10 ppm
c. 5 ppm
d. None of the above",b. 10 ppm
"What is the molecular weight of chlorine (Cl₂)?
a. 70
b. 14
c. 65
d. 20",a. 70
"What disinfectant has the longest lasting residual?
a. Ozone
b. Chlorine
c. Chloramine
d. Chlorine Dioxide",c. Chloramine
"What are some of the early indicators of nitrification?
a. Lowering chlorine residual
b. Excess ammonia in treated water
c. Raise in bacterial heterotrophic plate counts
d. All of the above",d. All of the above
