Front,Back
"Water with a pH of 8.0 is considered to be
a. acidic
b. basic or alkaline
c. neutral
d. undrinkable",Answer: b. basic or alkaline
"Over which water quality indicator do operators have the greatest
control?
a. alkalinity
b. pH
c. temperature
d. turbidity",Answer: d. turbidity
"Which pH range is generally accepted as most palatable (drinkable)?
e. all of the above
a. 6.5 to 8.5
b. 4.5 to 6.5
c. 8.5 to 9.5
d. 9.5 and above",Answer: a. 6.5 to 8.5
"Which of the following conditions is favorable for the rapid growth
of algal?
a. moderate to high dissolved oxygen and nutrients
b. high pH and water hardness
c. low temperatures and low dissolved oxygen
d. high alkalinity and water hardness",Answer: a. moderate to high dissolved oxygen and nutrients
"Water has physical, chemical, and biological characteristics. Which
of the following is a physical characteristic?
a. Coliform
b. Turbidity
c. Hardness
d. All the above",Answer: b. Turbidity
"Tastes and odors in surface water are most often caused by:
a. clays
b. hardness
c. algae
d. coliform bacteria",Answer: c. algae
"Which of the following elements cause hardness in water?
a. sodium and potassium
b. calcium and magnesium
c. iron and manganese
d. turbidity and suspended solids",Answer: b. calcium and magnesium
"When measuring for free chlorine residual, which method is the
quickest and simplest?
a. DPD color comparater
b. Orthotolidine method
c. Amperometric titration
d. 1, 2 nitrotoluene di-amine method",Answer: a. DPD color comparater
"Which water quality parameter requires a grab sample because it
cannot be collected as a composite sample?
a. pH
b. Iron
c. Nitrate
d. Zinc",Answer: a. pH
"If a water sample is not analyzed immediately for chlorine residual,
it is acceptable if it is analyzed within
a. 10 minutes.
b. 15 minutes.
c. 20 minutes.
d. 30 minutes.",Answer: b. 15 minutes.
"The volume of a sample for coliform compliance is
a. 100 mL.
b. 200 mL.
c. 300 mL.
d. 0 ; there is no volume compliance for coliforms.",Answer: a. 100 mL.
"Which of the following is an indicator organism?
a. Giardia
b. Cryptosporidium
c. Hepatitis
d. E. Coli",Answer: d. E. Coli
"What is the primary origin of coliform bacteria in water supplies?
a. Natural algae growth
b. Industrial solvents
c. Animal or human feces
d. Acid rain",Answer: c. Animal or human feces
"What ls the term for water samples collected at regular intervals
and combined in equal volume with each other?
a. Time grab samples
b. Time flow samples
c. Proportional time composite samples",Answer: a. Time grab samples
"What is the basis for the number of samples that must be collected
for utilities monitoring for lead and copper that are in compliance
or have installed corrosion control?
a. Size of distribution system
b. Population
c. Amount of water produced
d. Number of raw water sources",Answer: b. Population
"Where should bacteriological samples be collected in the
distribution system?
system
other locations
a. Uniformly distributed throughout the system based on area
b. At locations that are representative of conditions within the
c. Always from extreme locations in the system but occasionally at
d. Uniformly throughout the system based on population density",Answer: a. Uniformly distributed throughout the system based on area
"The quantity of oxygen. that can remain dissolved in water is
related to
a. Temperature
b. pH
c. Turbidity
d. Alkalinity",Answer: a. Temperature
"In coliform analysis using the presence-absence test, a sample
should be incubated for
a. 24 hours at 25^(∘)C
b. 36 hours at 35^(∘)C
c. 24 and 36 hours at 25^(∘)0
d. 24 and 48 hours at 35^(∘)C",Answer: d. 24 and 48 hours at 35^(∘)C
"A major source of error when obtaining water quality information is
improper:
a. Sampling
b. Preservation
c. Tests of samples
d. Reporting of data",Answer: a. Sampling
"What is commonly used as an indicator of potential contamination in
drinking water samples?
a. Viruses
b. Coliform bacteria
c. Intestinal parasites
d. Pathogenic organisms",Answer: b. Coliform bacteria
"The type of organisms that can cause disease are said to be
microorganisms.
a. Bad
b. Pathogenic
c. Undesirable
d. Sick",Answer: b. Pathogenic
"Four types of aesthetic contaminants in water include the following:
a. Odor, turbidity, color, hydrogen sulfide gas
b. Pathogens, microorganisms, arsenic, disinfection by-products
c. Odor, color, turbidity, hardness
d. Color, pathogens, metals, organics","Answer: c. Odor, color, turbidity, hardness"
"What is the purpose of adding fluoride to drinking water?
a. Increase tooth decay
b. Reduce tooth decay
c. Make teeth white
d. Government conspiracy",Answer: b. Reduce tooth decay
"The test used to determine the effectiveness of disinfection is
called the:
a. Coliform bacteria test
b. Color test
c. Turbidity test
d. Particle test",Answer: a. Coliform bacteria test
"Turbidity is measured as:
a. mg/L
b. mL
c. gpm
d. NTU",Answer: d. NTU
"Giardia and cryptosporidium are a type of:
a. Mineral
b. Organism
c. Color
d. Bird",Answer: b. Organism
"Chronic contaminants are those that can cause sickness after:
a. Prolonged exposure
b. Low levels or low exposure",Answer: a. Prolonged exposure
"A positive total coliform test indicates that:
a. Disease-causing organisms may be present in the water supply
b. The water is safe to consume
c. The water supply has high iron levels
d. There is nothing to be concerned about",Answer: a. Disease-causing organisms may be present in the water supply
"What is the purpose of the bacteriological site sampling plan?
to take the four repeat samples
a. To have a map showing where BacT samples are drawn
b. In case of a positive Bac T sample, the operator will know where
c. The state will know where you are taking your repeat samples
d. All of the above",Answer: d. All of the above
"To ensure that the water supplied by a public water system meets
state requirements, the water system operator must regularly collect
samples and:
a. Have water analyzed at an approved water testing laboratory
b. Determine a sampling schedule based on state requirements
c. Send all analyses results to the state
d. All of the above",Answer: d. All of the above
"Samples taken for routine bacteriological testing should be
preserved by:
a. Freezing
b. Boiling
c. DPD preservative
d. Refrigeration",Answer: d. Refrigeration
"How many coliform samples are required per month for a water system
serving a population between 25 and 100 ?
a. 1
b. 2
c. 3
d. 4",Answer: a. 1
"Before taking a bacteriological (BacT) water sample from a faucet,
you should:
service line
a. Wash hands thoroughly
b. Remove the faucet aerator
c. Flush water until you’re sure water is from the main, not the
d. All of the above",Answer: d. All of the above
"Monthly BacT samples should be taken from:
a. The well pump house
b. The distribution system
c. The treatment plant
d. An outside hose spigot",Answer: b. The distribution system
"If your BacT sample test is positive, how long do you have to
collect repeat samples and deliver them to the lab?
a. 12 hours
b. 24 hours
c. 48 hours
d. 72 hours",Answer: b. 24 hours
"__ is a measure of the capacity of water to neutralize acids.
a. Concentration
b. Alkalinity
c. pH
d. Conductivity",Answer: b. Alkalinity
"The DPD method is used to determine the ___ of a water sample.
a. Dissolved oxygen content
b. Conductivity
c. pH
d. Free chlorine residual",Answer: d. Free chlorine residual
"What color does N,N-diethyl-p-phenylenediamine (DPD) turn in the
presence of chlorine?
a. Brown
b. Green
c. Blue
d. Pink",Answer: d. Pink
"The presence-absence ( P − A) test used for microbiological testing
is also commonly referred to as
a. Multiple Tube Fermentation
b. Membrane Filtration
c. Confirmed Test
d. Colilert",Answer: d. Colilert
"When testing for coliform bacteria with the multiple tube
fermentation (MFT) method what is the best indicator for a positive
test?
a. Color change
b. Gas bubble formation
c. Formation of a cyst
d. Formation of turbidity",Answer: b. Gas bubble formation
"Coliform bacteria share many characteristics with pathogenic
organisms. Which of the following is not true?
a. They survive longer in water
b. They grow in the intestines
c. There are less coliform than pathogenic organisms
d. They are still present in water without fecal contamination",Answer: d. They are still present in water without fecal contamination
"What is the second step in the multiple tube fermentation test?
a. Presumptive test
b. Negative test
c. Completed
d. Confirmed",Answer: d. Confirmed
"What is the removal and deactivation requirement for Giardia?
a. 2log
b. 3log
c. 4log
d. There is no requirement",Answer: (not marked)
"The multiple barrier approach to water treatment includes removal
through which method?
a. Filtration
b. Coagulation
c. Disinfection
d. a and c",Answer: d. a and c
"A pH reading of 7 is considered
a. Slightly acidic
b. Acidic
c. Basic
d. Neutral",Answer: d. Neutral
"EDTA titration is used to determine the of a water sample.
a. Hardness
b. Conductivity
c. Alkalinity
d. Free chlorine residual",Answer: a. Hardness
"A higher than normal turbidity reading could signify
a. A change in water quality
b. Nothing. Keep operating as normal
c. Microbiological contamination
d. Both A&C",Answer: d. Both A&C
"What is the ingredient used during the second multiple tube
fermentation test?
a. Colilert
b. MMO/MUG
c. Brilliant Green Bile
d. Chlorine",Answer: c. Brilliant Green Bile
"When collecting a distribution system sample for bacteriological
testing, the person collecting the sample should allow the water to
run before filling the sample bottle.
a. A minimum of five minutes.
b. 1hr.
c. 30 min
d. only a few seconds",Answer: (not marked)
