Front,Back
Name two primary sources of municipal water.,Surface water and groundwater.
What is surface water?,"Water from rivers, lakes, and reservoirs exposed to the atmosphere."
What is groundwater?,Water stored in aquifers below the earth's surface.
Define aquifer.,A geologic formation that can store and transmit usable quantities of groundwater.
What is a confined aquifer?,An aquifer bounded above and/or below by low-permeability layers (aquitards).
What is an unconfined aquifer?,An aquifer with a water table open to atmospheric pressure.
Define recharge area.,Land area where water infiltrates to replenish an aquifer.
What is safe yield?,The maximum groundwater withdrawal without causing long‑term decline or damage.
Name a common surface water quality issue.,High turbidity from runoff and erosion.
Name a common groundwater quality issue.,"Elevated hardness or naturally occurring minerals (e.g., iron, manganese)."
What is watershed protection?,Practices to prevent contamination within the drainage basin feeding a source.
Define source water assessment.,Evaluation of susceptibility of a water source to contamination.
What is wellhead protection?,Managing land use near wells to prevent contamination.
What is a sanitary seal on a well?,A seal preventing surface contaminants from entering the well annulus.
Define drawdown.,The lowering of water level in a well during pumping.
What is specific capacity?,Well yield per foot of drawdown (gpm/ft).
What is surface water augmentation?,Blending treated water into reservoirs to increase supply.
Name a pathogen concern for surface water.,Giardia or Cryptosporidium.
What is bank filtration?,Natural filtration as river water travels through riverbank sediments to wells.
Define source blending.,Mixing multiple raw waters to manage quality and supply constraints.
What is a spring?,Groundwater that naturally flows to the surface.
What is saltwater intrusion?,Migration of saltwater into freshwater aquifers due to over‑pumping near coasts.
What parameter indicates influence of surface water on a well?,Rapid changes in turbidity or temperature (GUDI indicators).
What is GUDI?,Groundwater Under the Direct Influence of surface water.
What is an intake structure?,"Built works to withdraw raw water from a source (screens, gates)."
What are travel time considerations in surface reservoirs?,Affect pathogen inactivation and mixing before intake.
Name one method to protect reservoir quality.,"Floating covers, aeration, algae control, or watershed BMPs."
What is a well screen?,Perforated section allowing water entry while retaining formation materials.
What is a pump test?,Yield/drawdown test to evaluate well performance.
Name one sign of well deterioration.,Increasing sand content or declining specific capacity.
