"Front","Back"
"UV-AOP is used primarily to destroy ___ organic compounds.","Trace"
"UV-AOP combines ultraviolet light with an ___ to form reactive species.","Oxidant"
"The most common oxidant used in UV-AOP for potable reuse is ___.","Hydrogen peroxide (H2O2)"
"The primary reactive species responsible for oxidation in UV-AOP is the ___ radical.","Hydroxyl"
"Hydroxyl radicals are highly ___ and react with many compounds.","Reactive"
"UV-AOP is a ___ process, not a membrane separation process.","Chemical"
"UV dose is the product of UV intensity and ___.","Exposure"
"A common unit of UV dose is ___.","mJ/cm2"
"UV transmittance (UVT) measures how much UV light ___ through water.","Passes"
"UVT is typically reported at a wavelength of ___ nm.","254"
"Higher UVT generally means ___ UV absorption by the water.","Lower"
"If UVT decreases, UV power must generally be ___ to maintain dose.","Increased"
"In potable reuse, UV-AOP is typically located ___ of RO.","Downstream"
"UV-AOP is especially effective at treating ___-molecular-weight organic compounds.","Low"
"UV-AOP can also provide ___ of microorganisms via UV exposure.","Inactivation"
"Hydrogen peroxide alone (without UV) is a relatively ___ disinfectant at AOP doses.","Weak"
"UV-AOP performance depends on UV dose, oxidant dose, and water ___.","Quality"
"Carbonate and bicarbonate act as hydroxyl radical ___.","Scavengers"
"Natural organic matter (NOM) can ___ for hydroxyl radicals.","Compete"
"Increasing peroxide dose beyond an optimum can ___ AOP efficiency.","Reduce"
"UV-AOP performance is often demonstrated using ___ indicators.","Surrogate"
"1,4-dioxane is a compound commonly targeted by ___ treatment.","UV-AOP"
"NDMA can be effectively treated using ___-based processes.","UV"
"UV alone (without peroxide) is generally ___ effective for 1,4-dioxane destruction.","Less"
"UV/H2O2 is typically ___ effective than UV alone for many compounds.","More"
"The delivered UV dose is affected by reactor ___.","Flow"
"At constant power, increasing flow generally ___ UV dose.","Reduces"
"UV reactors are validated to establish allowable operating ___.","Conditions"
"UV intensity sensors are used to monitor UV ___ in the reactor.","Intensity"
"Fouling of lamp sleeves can reduce UV ___.","Light"
"UV lamp output typically ___ over time due to aging.","Decreases"
"Cleaning lamp sleeves can help restore UV ___.","Transmission"
"If UV intensity drops, operators may reduce flow or increase ___.","Power"
"Hydrogen peroxide is typically dosed ___ of the UV reactor.","Upstream"
"Excess hydrogen peroxide residual may need to be ___ downstream.","Quenched"
"A common enzyme used to quench hydrogen peroxide is ___.","Catalase"
"UV-AOP does ___ significantly change water conductivity.","Not"
"UV-AOP is considered a key barrier for ___ organics after RO.","Trace"
"UV-AOP is not intended to remove dissolved ___.","Salts"
"UV-AOP is a ___ barrier rather than a physical removal barrier.","Chemical"
"UV-AOP relies on hydroxyl radicals generated during UV ___.","Photolysis"
"UV-AOP design accounts for water ___ that can reduce radical availability.","Constituents"
"UV-AOP systems include alarms for low UV or low UV ___.","Intensity"
"UV-AOP is regulated under ___ for potable reuse in California.","Title 22"
"UV-AOP supports protection of ___ health by reducing trace contaminants.","Public"
