Front,Back
"What does NTU measure?","Turbidity (Nephelometric Turbidity Units)."
"What is pH?","Measure of acidity/alkalinity; negative log of hydrogen ion activity."
"Typical drinking water pH range?","Approximately 6.5–8.5 (aesthetic guideline)."
"What is alkalinity?,"Water's capacity to neutralize acid"," mainly bicarbonate/carbonate."
"What is hardness?,"Concentration of multivalent cations"," mainly calcium and magnesium."
"Difference: total vs. free chlorine?","Free chlorine excludes chloramines; total = free + combined."
"What is chloramine?","Combined chlorine disinfectant formed from ammonia and chlorine."
"What is THM?,"Trihalomethane"," a DBP formed when chlorine reacts with organics."
"What is HAA5?,"Haloacetic acids (five regulated species)"," a chlorine DBP group."
"What is MPN?","Most Probable Number method for coliform estimation."
"What is a coliform indicator?,"Bacteria group indicating potential fecal contamination (e.g."," E. coli)."
"What is a grab sample?","Single sample collected at a specific time and location."
"What is a composite sample?","Combined samples over time/flow for average conditions."
"Hold time for coliform samples?","Typically analyze within 30 hours (per method)."
"Why dechlorinate bacteriological bottles?","Sodium thiosulfate neutralizes chlorine to protect organisms for testing."
"Conductivity measures what?","Water's ability to conduct electricity; correlates with dissolved ions."
"TDS stands for?","Total Dissolved Solids."
"What is Langelier Saturation Index (LSI)?","Index predicting scaling/corrosion tendency."
"Define detection limit.","Lowest concentration a method can reliably distinguish from zero."
"What is method blank?","Reagent water processed with samples to check contamination."
"What is a duplicate sample?","Second sample to assess precision/repeatability."
"Chain of custody purpose?","Tracks sample handling to ensure integrity and traceability."
"Preservation for metals?,"Nitric acid to pH<2"," keep cold."
"Typical turbidity limit for filtered water?","≤0.3 NTU in 95% of measurements (treatment goal)."
"What is UV254?","Absorbance at 254 nm indicating organics/aromatics (SUVA proxy)."
"What is SUVA?","Specific UV Absorbance (UV254/DOC) indicating organic character."
"Why measure ammonia in chloraminated systems?","To control monochloramine formation and prevent nitrification."
"What indicates nitrification?,"Low chlorine residual"," increasing nitrite/nitrate"," higher HPC."
"What is HPC?,"Heterotrophic Plate Count"," general bacterial enumeration."
"Primary vs. secondary standards?,"Primary protect health; secondary address aesthetics (taste"," odor"," color)."
