Front,Back
"What is the reason for keeping adequate, reliable records in a treatment plant? by regulatory agencies the public
a. to record the plant’s effectiveness and because of requirements
b. to maintain records for cold cases
c. in case the IRS wishes to check files for due diligence
d. because of homeland security issues and files being available to",a. to record the plant’s effectiveness and because of requirements
"Which statement about displacement meters is not correct: type capacity can result in excessive wear
a. The most common type of water service meter is the displacement
b. Displacement meters are accurate at low flows
c. Excess sediment can cause the meter to stop registering
d. Displacement meters have little head loss due to friction
e. Displacement meters operated at a rate in excess of its stated",d. Displacement meters have little head loss due to friction
"A fire hydrant should be closed slowly to avoid:
a. Excessive wear
b. Water hammer
c. Excessive head loss
d. Injury to operator",b. Water hammer
"The minimum separation between municipal water mains and sanitary sewers for installation in a common trench shall be:
a. 5 feet horizontal separation
b. 10 feet horizontal separation
c. 15 feet horizontal separation
d. 25 feet horizontal separation",b. 10 feet horizontal separation
"To properly disinfect a water main after new construction, you should: 24 hours
a. apply 50 mg/L chlorine for 24 hours.
b. clean the pipe out with a pig and then disinfect at 10 mg/L for
c. use a 10% solution of calcium chloride
d. don’t use the main for one week",a. apply 50 mg/L chlorine for 24 hours.
"When using a dry-barrel fire hydrant, the valve:
a. should never be opened completely
b. be opened only during the hours of 8AM to 5PM
c. be opened to the desired amount of flow
d. be opened all the way",d. be opened all the way
"The primary reason for dry-barrel fire hydrants is to:
a. allow easy maintenance
b. prevent water hammer
c. keep the hydrant from freezing
d. keep the barrel from rusting",c. keep the hydrant from freezing
"A centrifugal pump should not be run empty except momentarily because: casing. bearing.
a. a serious counter pressure could develop and damage the pump
b. it is a waste of energy to run a pump without water.
c. the excessive end thrust of the shaft would damage the thrust
d. the parts lubricated by water could be damaged.",d. the parts lubricated by water could be damaged.
"Pipes of dissimilar metal should not be connected together because of problems due:
a. to scale formation
b. corrosion
c. water hammer
d. the venturi effect",b. corrosion
"Which type of valve will prevent the collapse of a pipe?
a. Pressure-relief valve
b. Needle valve
c. Pinch valve
d. Air-and-vacuum relief valve",d. Air-and-vacuum relief valve
"The correct protective methods for backflow-prevention devices in order of decreasing effectiveness are
a. air gap, VB, RPZ, and DCVA.
b. air gap, VB, DCVA, and RPZ.
c. air gap, RPZ, VB, and DCVA.
d. air gap, RPZ, DCVA, and VB.","d. air gap, RPZ, DCVA, and VB."
"The C-value is a measure of a pipe’s wall
a. smoothness.
b. smoothness giving even flow.
c. smoothness that retards turbulent flow.
d. roughness that retards flow due to friction.",a. smoothness.
"Which one of the following is a type of joint for ductile iron piping?
a. Expansion joint
b. Push-on joint
c. Bell and spigot with rubber o-ring
d. Rubber gasket joint",b. Push-on joint
"Which of the following pipe joints is classified as a mechanical joint?
a. Solvent-cement joint
b. Welded joint
c. Dresser coupling
d. Heat-fused joint","c. Dresser coupling"
"A mechanical joint (MJ) bell-and-spigot connection is most commonly used with which pipe material?
a. PVC pressure pipe
b. Ductile iron pipe
c. Copper tubing
d. Steel pipe","b. Ductile iron pipe"
"Which pipe joint is most appropriate for use near pumps and valves where future disassembly may be required?
a. Solvent-cement joint
b. Heat-fused joint
c. Flanged joint
d. Threaded joint","c. Flanged joint"
"Which type of joint allows for limited angular deflection while maintaining a pressure-tight seal?
a. Flanged joint
b. Mechanical joint (MJ)
c. Welded joint
d. Solvent-cement joint","b. Mechanical joint (MJ)"
"A Dresser coupling is most commonly used for which application?
a. New PVC main installation
b. Permanent welded steel pipelines
c. Repairing or connecting plain-end pipes
d. Gravity sewer connections only","c. Repairing or connecting plain-end pipes"
"Which joint type is not suitable for pressurized water mains?
a. Mechanical joint
b. Flanged joint
c. Flexible rubber coupling
d. Grooved coupling","c. Flexible rubber coupling"
"Grooved mechanical couplings (e.g., Victaulic-type) are most commonly used in:
a. Buried PVC distribution mains
b. Small-diameter copper service lines
c. Treatment plants and mechanical rooms
d. Gravity storm drains only","c. Treatment plants and mechanical rooms"
"Which pipe joint relies on gasket compression using bolts and a follower gland to create a seal?
a. Solvent-cement joint
b. Threaded joint
c. Mechanical joint (MJ)
d. Butt-fused joint","c. Mechanical joint (MJ)"
"Flanged joints are best described as:
a. Flexible joints that allow significant deflection
b. Permanent joints that cannot be disassembled
c. Rigid joints commonly used for equipment connections
d. Joints used only for gravity pipelines","c. Rigid joints commonly used for equipment connections"
"Which joint type is commonly used to join dissimilar pipe materials during repairs?
a. Solvent-cement joint
b. Mechanical joint bell-and-spigot
c. Dresser coupling
d. Heat-fused joint","c. Dresser coupling"
"Water hammer can be described as
a. particle waves.
b. acoustic waves.
c. rogue waves.
d. longitudinal waves.",b. acoustic waves.
"Which thrust control is easy to use, especially in locations where existing utilities or structures are numerous?
a. Restraining fittings
b. Tie rods
c. Thrust anchors
d. Thrust blocks",a. Restraining fittings
"The backfill material for a pipe installation should contain enough to allow for thorough compaction.
a. moisture
b. sand
c. gravel
d. mixed sizes",b. sand
"Thrust from a water surge almost always pushes against the inside surface
a. vertically
b. horizontally
c. perpendicular
d. vertically and horizontally",a. vertically
"The breaking of a buried pipe when it is unevenly supported is called
a. stress breakage.
b. shear breakage.
c. beam breakage.
d. flexural breakage.",c. beam breakage.
"Compression fittings used with copper or plastic tubing seal by means of a neck.
a. beveled sleeve.
b. compression ring.
c. compressed beveled gasket.
d. compressed o-rings located at either end of the fitting’s beveled",a. beveled sleeve.
"Which should be installed at a dead-end water main?
a. Vacuum valve
b. Air valve
c. Blowoff valve
d. Water quality sampling station",c. Blowoff valve
