Front,Back
"Define NPSH.","Net Positive Suction Head (available vs. required to avoid cavitation)."
"What is cavitation?","Formation/collapse of vapor bubbles causing noise/vibration/erosion."
"How to reduce cavitation risk?","Increase suction head, decrease temperature, reduce pump speed, or lower suction losses."
"What is TDH?","Total Dynamic Head: static head + friction + velocity head adjustments."
"Affinity laws relate what?","Pump flow, head, and power to speed/impeller diameter changes."
"What is a VFD?","Variable Frequency Drive controlling motor speed for flow/pressure."
"Purpose of check valve on discharge?","Prevents reverse flow/backspin when pump stops."
"What is a foot valve?","Check valve at suction inlet to keep prime."
"What is priming?","Filling pump casing/suction to remove air before starting."
"What is a pump curve?","Graph of head vs flow for a specific pump and speed."
"Best efficiency point (BEP)?","Flow where pump efficiency is highest and vibration lowest."
"Parallel pump operation effect?","Increases flow at similar head."
"Series pump operation effect?","Increases head at similar flow."
"What is wire-to-water efficiency?","Overall efficiency from power input to water output."
"Role of air release valves on force mains?","Remove trapped air to reduce headloss and surges."
"What is water hammer?","Pressure surge from rapid velocity change (e.g. valve closure)."
"How to mitigate water hammer?","Slow valve closure, surge tanks, air chambers, VFD ramping."
"What is soft start?","Gradual acceleration to limit inrush current and surges."
"Pump rotation check purpose?","Ensure correct direction to avoid low flow/overheating."
"What is seal water?","Clean water to cool/lubricate mechanical seals or packing."
"What is pump packing?","Rings compressed around shaft sleeve to limit leakage."
"Centrifugal vs positive displacement?","Centrifugal adds velocity/pressure; PD moves fixed volume per cycle."
"What is a wet well?","Sump where influent collects for pumping (lift station)."
"Purpose of level sensors?","Start/stop pumps automatically and prevent overflow/dry run."
"What is NPSHa vs NPSHr?","Available at site vs required by pump; NPSHa must exceed NPSHr."
"What increases friction head?","Higher flow, smaller/rougher pipes, more fittings."
"What is shutoff head?","Maximum head at zero flow on pump curve."
"What is a pressure relief valve?","Protects system from excessive pressure surges."
"What is a suction strainer?","Screen on suction line to keep debris from entering pump."
"Why balance rotating assemblies?","Reduce vibration and bearing/seal wear."
"What is the purpose of pumps in a water system?","To move water from sources through treatment and into distribution at required pressures and flows."
"What is static head?","The vertical distance water must be lifted, independent of flow rate."
"What is friction head?","The pressure lost due to friction as water flows through pipes, fittings, and valves."
"What is total dynamic head (TDH)?","The sum of static head, friction head, and any pressure head requirements."
"What is pump efficiency?","The ratio of water horsepower output to brake horsepower input, expressed as a percentage."
"What is a centrifugal pump?","A pump that imparts velocity to water using a rotating impeller, converting velocity to pressure."
"What is a vertical turbine pump used for?","To lift groundwater from wells or open basins, often with column shafts and line-shaft bearings."
"What is a submersible pump?","A pump with motor and impellers located underwater, common in wells."
"What is a positive displacement pump?","A pump that moves a fixed volume of water per cycle, such as diaphragm or piston pumps."
"What is a peristaltic pump used for?","A positive displacement pump commonly used for chemical feed applications."
"What is a pump curve?","A graph showing pump head versus flow rate at a constant speed, provided by the manufacturer."
"What is the best efficiency point (BEP)?","The point on a pump curve where efficiency is highest and vibration is lowest."
"What happens if a pump operates far from BEP?","It may experience cavitation, excessive vibration, heat, or premature wear."
"What is cavitation?","The formation and collapse of vapor bubbles in a pump due to low pressure, causing noise and damage."
"How can cavitation be reduced?","By raising suction head, lowering pump speed, or using larger suction piping."
"What is NPSH?","Net Positive Suction Head, the pressure available to keep water from vaporizing at the pump suction."
"What is NPSHr?","Net Positive Suction Head required by the pump to avoid cavitation."
"What is NPSHa?","Net Positive Suction Head available from the system at pump suction conditions."
"What is priming a pump?","Filling the pump and suction line with water to remove air before starting a centrifugal pump."
"What is a check valve used for in pumping?","To prevent backflow when the pump is off."
