Front,Back
"What is an aquifer?","A geologic formation that stores and transmits usable quantities of groundwater through its pores or fractures."
"How does a confined aquifer differ from an unconfined aquifer?","A confined aquifer is bounded by low-permeability layers and is under pressure; an unconfined aquifer has a water table open to the atmosphere."
"What is the water table?","The upper surface of the saturated zone where all pore spaces are filled with water."
"Define recharge.","The process by which precipitation and surface water infiltrate into the ground to replenish an aquifer."
"What is safe yield?","A withdrawal rate that can be sustained over time without causing unacceptable declines or damage to the aquifer or connected surface waters."
"What is drawdown in a well?","The drop in water level in a well during pumping, measured from the static level to the pumping level."
"What does specific capacity indicate?","Well productivity expressed as pumping rate per foot of drawdown, often used to track well performance."
"Name a sign of well deterioration.","Indicators include increasing sand content, declining specific capacity, or rising pumping levels for the same flow."
"What is an aquitard?","A low-permeability layer, like clay, that slows groundwater movement and can confine aquifers."
"What is transmissivity?","A measure of how much water an aquifer can transmit horizontally; equal to hydraulic conductivity times saturated thickness."
"What is storativity?","The volume of water an aquifer releases or stores per unit surface area per unit change in hydraulic head."
"What is a step-drawdown test used for?","It evaluates well efficiency and performance at different pumping rates by measuring drawdown steps."
"What is a constant-rate pumping test?","A test where a well is pumped at a fixed rate while water levels are monitored to estimate transmissivity and storativity."
"Why is well screen selection important?","Proper slot size admits water while retaining formation material, reducing sand pumping and headloss."
"What is a sanitary seal on a well?","A sealed cap and casing grout that prevent surface contaminants from entering the annular space."
"What is GUDI?","Groundwater Under the Direct Influence of surface water—groundwater susceptible to rapid water quality changes similar to surface water."
"What field indicators suggest GUDI conditions?","Sudden turbidity or temperature changes linked to storms, or the presence of algae in a well."
"What is bank filtration?","Intentionally drawing river water through sediments to wells, which provides natural filtration and blending."
"How can saltwater intrusion occur?","Over-pumping coastal aquifers lowers water levels and allows denser seawater to migrate inland."
"How do utilities manage saltwater intrusion?","By reducing pumping near the coast, shifting production inland, creating hydraulic barriers, or injecting freshwater."
"What is a radial collector well?","A large-diameter caisson with horizontal laterals under a riverbed that increases yield from alluvial deposits."
"What is an infiltration gallery?","A buried perforated pipe system in alluvial deposits that collects naturally filtered water for supply."
"Why protect a reservoir’s watershed?","Land use controls reduce nutrient and contaminant loading, limiting algae blooms and turbidity spikes."
"What is reservoir stratification?","Seasonal layering (epilimnion, metalimnion, hypolimnion) that can cause low DO and taste/odor problems in deeper layers."
"What is reservoir turnover?","Mixing of lake layers in spring/fall that can release nutrients and change raw water quality."
"How do destratification systems help?","Air diffusers or mixers increase circulation, raise dissolved oxygen, and reduce taste/odor problems."
"What are cyanotoxins and why are they a concern?","Toxins produced by cyanobacteria in surface waters; they can pose acute health risks if untreated."
"What is a source water assessment?","A study that identifies potential contaminant sources and evaluates the susceptibility of a water supply."
"What is wellhead protection?","Managing land uses around wells to prevent contaminants from reaching the aquifer capture zone."
"Why is intake siting important for reservoirs?","Depth and location affect raw water quality, such as temperature, algae, and manganese levels."
"What is watershed delineation used for?","Mapping the drainage area contributing to a source to support protection and emergency planning."
"How can blending sources help?","Blending dilutes problem constituents, like hardness or nitrate, and improves water stability."
"What is a spring source?","Groundwater that naturally flows to the surface due to hydraulic gradients or geologic structures."
"What is travel time in a reservoir?","The estimated time for water parcels to move from inflow to intake; affects pathogen inactivation and DBP formation."
"Why monitor raw water turbidity?","It responds quickly to runoff events and informs treatment adjustments."
"What is an intake screen for?","To prevent large debris, fish, and aquatic growth from entering the raw water conveyance."
"How can drought affect water sources?","It lowers levels, increases temperature, concentrates contaminants, and reduces dilution."
"What is artificial recharge?","Intentional infiltration or injection of water to augment groundwater storage and supply reliability."
"What is conjunctive use?","Coordinated use of surface water and groundwater to optimize supply and bank water for dry years."
"How does land subsidence relate to groundwater pumping?","Excessive drawdown in compressible sediments can cause irreversible subsidence, damaging infrastructure."
"What is a capture zone?","The area on the surface that contributes groundwater flow to a pumping well."
"Why seal abandoned wells?","To eliminate direct pathways for contamination between surface and aquifers."
"What is a watershed BMP?","A best management practice, like erosion control or buffer strips, that reduces pollutant runoff to sources."
"What are typical groundwater quality issues?","Common issues include hardness, iron/manganese, arsenic, and naturally low dissolved oxygen."
"What are typical surface water quality issues?","High turbidity after storms, algae blooms, and pathogens like Giardia and Cryptosporidium."
"How does temperature affect source water?","Colder water holds more oxygen; warm water can spur algae growth and DBP precursors."
"What is a safety consideration at raw-water intakes?","Debris, currents, and confined spaces require fall protection, lockout, and safe entry permits."
"Why maintain source metering and SCADA?","Real-time flows and levels support compliance, operations, and early detection of anomalies."
"What is the role of sanitary surveys at sources?","Regular inspections of sources and facilities identify vulnerabilities and corrective actions."
"Why sample upstream of intakes after spills?","To anticipate contaminant arrival times and adjust operations or switch to alternate sources."
"What is an aquifer?","A geologic formation that stores and transmits usable quantities of groundwater through its pores or fractures."
"How does a confined aquifer differ from an unconfined aquifer?","A confined aquifer is bounded by low-permeability layers and is under pressure; an unconfined aquifer has a water table open to the atmosphere."
"What is the water table?","The upper surface of the saturated zone where all pore spaces are filled with water."
"Define recharge.","The process by which precipitation and surface water infiltrate into the ground to replenish an aquifer."
"What is safe yield?","A withdrawal rate that can be sustained over time without causing unacceptable declines or damage to the aquifer or connected surface waters."
"What is drawdown in a well?","The drop in water level in a well during pumping, measured from the static level to the pumping level."
"What does specific capacity indicate?","Well productivity expressed as pumping rate per foot of drawdown, often used to track well performance."
"Name a sign of well deterioration.","Indicators include increasing sand content, declining specific capacity, or rising pumping levels for the same flow."
"What is an aquitard?","A low-permeability layer, like clay, that slows groundwater movement and can confine aquifers."
"What is transmissivity?","A measure of how much water an aquifer can transmit horizontally; equal to hydraulic conductivity times saturated thickness."
"What is storativity?","The volume of water an aquifer releases or stores per unit surface area per unit change in hydraulic head."
"What is a step-drawdown test used for?","It evaluates well efficiency and performance at different pumping rates by measuring drawdown steps."
