Front,Back
"A positive fecal coliform (E. coli) result must be reported to the primacy agency within
a. 8 hours
b. 12 hours
c. 24 hours
d. 48 hours",c. 24 hours
"Which agency sets legal limits on contaminants in potable water?
a. National Primary Drinking Water Regulations
b. United States Environmental Protection Agency
c. United States Public Health Service
d. Occupational Safety and Health Administration",b. United States Environmental Protection Agency
"Which may be substituted for residual disinfectant measurement when total coliforms are also sampled at the same point?
a. Heterotrophic plate count (HPC)
b. Fecal coliforms
c. Giardia lamblia
d. Combined chlorine",a. Heterotrophic plate count (HPC)
"What does MCL stand for?
a. Minimum contaminant level
b. Micron contaminant level
c. Maximum contaminant level
d. Milligrams counted last",c. Maximum contaminant level
"How long must sanitary surveys be retained?
a. 3 years
b. 5 years
c. 7 years
d. 10 years",d. 10 years
"The most severe violation requiring the fastest public notification is
a. Tier I
b. Tier II
c. Tier III
d. Tier IV",a. Tier I
"The primacy agency may grant a variance/exemption as long as
a. Best Available Technology is used
b. There is no threat to public health
c. Both A and B
d. Never permitted",c. Both A and B
"A system serving at least 25 of the same people six months out of the year is
a. Nontransient noncommunity
b. Transient noncommunity
c. Community
d. None of the above",a. Nontransient noncommunity
"Regulations based on aesthetic qualities are
a. Primary Standards
b. Secondary Standards
c. Microbiological Standards
d. Radiological Standards",b. Secondary Standards
"The lowest reportable level for a water sample is the
a. 0.5 mg/L
b. Zero
c. Public health goal
d. Detection level for reporting",d. Detection level for reporting
"Primary Standards are based on
a. Color and taste
b. Aesthetic quality
c. Public health
d. Odor",c. Public health
"A disease-causing microorganism is a
a. Pathogen
b. Colilert
c. Pathological
d. Turbidity",a. Pathogen
"Under the SWTR, the combined removal/inactivation for Giardia is
a. 1.0 log
b. 2.0 log
c. 3.0 log
d. 4.0 log",c. 3.0 log
"Virus removal/inactivation equivalency under SWTR is
a. 99.9%
b. 99.99%
c. 99.0%
d. 99.999%",b. 99.99%
"For systems taking  > 40 total coliform samples per month, the maximum positive percentage allowed is
a. 10%
b. 7%
c. 5% (percentile wording)
d. 5%",d. 5%
"The National Primary Drinking Water Regulations apply to contaminants with adverse effects on
a. Water color
b. Water taste
c. Water odor
d. Human health",d. Human health
"Which is considered an acute risk?
a. Two Tier 2 violations
b. One Tier 2 violation
c. Two Tier 1 violations
d. One Tier 1 violation",d. One Tier 1 violation
"Records on turbidity analyses must be kept at least
a. 5 years
b. 7 years
c. 10 years
d. 25 years",a. 5 years
"Records on bacteriological analyses must be kept at least
a. 5 years
b. 7 years
c. 10 years
d. 25 years",a. 5 years
"Difference between primary and secondary standards: secondary standards address aesthetics
a. Primary standards address substances posing health risk;
b. Primary are carcinogens; secondary are not
c. Primary eventually kill; secondary never affect health
d. Secondary make some people sick; primary make everyone sick",a. Primary standards address substances posing health risk;
"SDWA definition of a public water system is (smallest correct threshold)
a. 10 connections or 20 people for 60+ days/yr
b. 15 connections or 20 people for 90+ days/yr
c. 10 connections or 25 people for 30+ days/yr
d. 15 connections or 25 people for 60+ days/yr",d. 15 connections or 25 people for 60+ days/yr
"For monitoring/reporting violations, public notice must be given within
a. 1 week by hand delivery
b. 45 days by posting at town hall
c. 1 year (e.g., with the water bill/annual notice)
d. 3 months via daily newspaper","c. 1 year (e.g., with the water bill/annual notice)"
"What U.S. agency establishes drinking water standards?
a. AWWA
b. USEPA
c. NIOSH
d. NSF",b. USEPA
"If a supply exceeds an MCL, who must notify consumers?
a. The testing lab
b. The water supplier
c. The Department of Health
d. USEPA",b. The water supplier
"According to the Lead and Copper Rule, the 90th percentile lead action level is
a. 0.005 mg/L
b. 0.015 mg/L
c. 0.030 mg/L
d. 0.050 mg/L",b. 0.015 mg/L
