Front,Back
"A positive fecal coliform (E. coli) result must be reported to the
primacy agency within
a. 8 hours
b. 12 hours
c. 24 hours
d. 48 hours",Answer: c. 24 hours
"Which agency sets legal limits on contaminants in potable water?
a. National Primary Drinking Water Regulations
b. United States Environmental Protection Agency
c. United States Public Health Service
d. Occupational Safety and Health Administration",Answer: b. United States Environmental Protection Agency
"Which may be substituted for residual disinfectant measurement when
total coliforms are also sampled at the same point?
a. Heterotrophic plate count (HPC)
b. Fecal coliforms
c. Giardia lamblia
d. Combined chlorine",Answer: a. Heterotrophic plate count (HPC)
"What does MCL stand for?
a. Minimum contaminant level
b. Micron contaminant level
c. Maximum contaminant level
d. Milligrams counted last",Answer: c. Maximum contaminant level
"How long must sanitary surveys be retained?
a. 3 years
b. 5 years
c. 7 years
d. 10 years",Answer: d. 10 years
"The most severe violation requiring the fastest public notification
is
a. Tier I
b. Tier II
c. Tier III
d. Tier IV",Answer: a. Tier I
"The primacy agency may grant a variance/exemption as long as
a. Best Available Technology is used
b. There is no threat to public health
c. Both A and B
d. Never permitted",Answer: c. Both A and B
"A system serving at least 25 of the same people six months out of
the year is
a. Nontransient noncommunity
b. Transient noncommunity
c. Community
d. None of the above",Answer: a. Nontransient noncommunity
"Regulations based on aesthetic qualities are
a. Primary Standards
b. Secondary Standards
c. Microbiological Standards
d. Radiological Standards",Answer: b. Secondary Standards
"The lowest reportable level for a water sample is the
a. 0.5 mg/L
b. Zero
c. Public health goal
d. Detection level for reporting",Answer: d. Detection level for reporting
"Primary Standards are based on
a. Color and taste
b. Aesthetic quality
c. Public health
d. Odor",Answer: c. Public health
"A disease-causing microorganism is a
a. Pathogen
b. Colilert
c. Pathological
d. Turbidity",Answer: a. Pathogen
"Under the SWTR, the combined removal/inactivation for Giardia is
a. 1.0 log
b. 2.0 log
c. 3.0 log
d. 4.0 log",Answer: c. 3.0 log
"Virus removal/inactivation equivalency under SWTR is
a. 99.9%
b. 99.99%
c. 99.0%
d. 99.999%",Answer: b. 99.99%
"For systems taking  > 40 total coliform samples per month, the
maximum positive percentage allowed is
a. 10%
b. 7%
c. 5% (percentile wording)
d. 5%",Answer: d. 5%
"The National Primary Drinking Water Regulations apply to
contaminants with adverse effects on
a. Water color
b. Water taste
c. Water odor
d. Human health",Answer: d. Human health
"Which is considered an acute risk?
a. Two Tier 2 violations
b. One Tier 2 violation
c. Two Tier 1 violations
d. One Tier 1 violation",Answer: d. One Tier 1 violation
"Records on turbidity analyses must be kept at least
a. 5 years
b. 7 years
c. 10 years
d. 25 years",Answer: a. 5 years
"Records on bacteriological analyses must be kept at least
a. 5 years
b. 7 years
c. 10 years
d. 25 years",Answer: a. 5 years
"Difference between primary and secondary standards:
secondary standards address aesthetics
a. Primary standards address substances posing health risk;
b. Primary are carcinogens; secondary are not
c. Primary eventually kill; secondary never affect health
d. Secondary make some people sick; primary make everyone sick",Answer: a. Primary standards address substances posing health risk;
"SDWA definition of a public water system is (smallest correct
threshold)
a. 10 connections or 20 people for 60+ days/yr
b. 15 connections or 20 people for 90+ days/yr
c. 10 connections or 25 people for 30+ days/yr
d. 15 connections or 25 people for 60+ days/yr",Answer: d. 15 connections or 25 people for 60+ days/yr
"For monitoring/reporting violations, public notice must be given
within
a. 1 week by hand delivery
b. 45 days by posting at town hall
c. 1 year (e.g., with the water bill/annual notice)
d. 3 months via daily newspaper","Answer: c. 1 year (e.g., with the water bill/annual notice)"
"What U.S. agency establishes drinking water standards?
a. AWWA
b. USEPA
c. NIOSH
d. NSF",Answer: b. USEPA
"If a supply exceeds an MCL, who must notify consumers?
a. The testing lab
b. The water supplier
c. The Department of Health
d. USEPA",Answer: b. The water supplier
"According to the Lead and Copper Rule, the 90th percentile lead
action level is
a. 0.005 mg/L
b. 0.015 mg/L
c. 0.030 mg/L
d. 0.050 mg/L",Answer: b. 0.015 mg/L
"The term MCLG means the
margin of safety
a. Maximum allowable level in drinking water
b. Level below which no known/suspected adverse effects occur with
c. Level that triggers Tier 1 violation
d. Minimum detectable level",Answer: b. Level below which no known/suspected adverse effects occur with
"The main difference between Tier 1 and Tier 2 violations is
a. Tier 1 has direct adverse health effects; Tier 2 does not
b. Tier 1 requires public notice; Tier 2 does not
c. Tier 1 is acute; Tier 2 is not acute
d. Tier 1 has legal consequences; Tier 2 does not",Answer: c. Tier 1 is acute; Tier 2 is not acute
"The most important well-site factor from a health standpoint is
a. Anticipated yield
b. Availability of power
c. Distance from other wells
d. Vulnerability (to contamination)",Answer: d. Vulnerability (to contamination)
"Trihalomethanes (THMs) are classified as
*e. Volatile organic compounds
a. Metals
b. Inorganic constituents
c. Secondary standards
d. Radiological contaminants",Answer: (not marked)
"“Primacy” means
a. States can supersede USEPA rules
b. USEPA supersedes state rules
c. States must adopt stricter rules than USEPA
d. Primary authority to implement/enforce drinking water rules",Answer: d. Primary authority to implement/enforce drinking water rules
"Who must develop a coliform monitoring/siting plan?
a. Large systems ( > 50, 000)
b. Large and medium ( > 3, 300)
c. Small and medium (25–3, 300)
d. All public water systems",Answer: d. All public water systems
"The MCLG for known/probable carcinogens is
a. Set by the state
b. Equal to the MCL
c. Zero
d. The minimum detectable level",Answer: c. Zero
"Which disease is not typically transmitted by contaminated water?
*e. Tuberculosis
a. Cryptosporidiosis
b. Giardiasis
c. Cholera
d. Typhoid",Answer: (not marked)
"The maximum disinfectant residual allowed (free chlorine MRDL) in
distribution is
e. No maximum
a. 0.2 mg/L
b. 2.0 mg/L
c. 2.0 μg/L
d. 4.0 mg/L",Answer: d. 4.0 mg/L
"If a single routine total coliform sample is positive, you must
immediately upstream and downstream
e. Flush only
a. Immediately notify the health department
b. Immediately notify customers
c. Re-test at the original point only
d. Take repeat samples at the original site and at points",Answer: d. Take repeat samples at the original site and at points
"For systems with  > 40 routine coliform samples/month, the maximum
positives permitted is
e. Variable
a. 2
b. 2%
c. 5
d. 5%",Answer: d. 5%
"Final determination of vulnerability is made by
a. Private contractor/consultants
b. The primacy agency
c. The water supplier
d. All of the above",Answer: b. The primacy agency
"Primary and secondary standards are normally established with a
e. Minimum contaminant level goal
a. Maximum contaminant level (MCL / SMCL)
b. Minimum contaminant level
c. Public health goal
d. Maximum contaminant level goal",Answer: a. Maximum contaminant level (MCL / SMCL)
"The presence of coliforms in a distribution system
e. Has no significance
a. Proves pathogens are present
b. Indicates chlorine demand spiked
c. Indicates pathogens may be present
d. Requires brilliant green bile as a disinfectant",Answer: c. Indicates pathogens may be present
"The regulation establishing microbiological quality standards is
e. Maximum Contaminant Level
a. Disinfection By-Product Rule
b. Secondary Standards
c. Total Coliform Rule (as revised)
d. Lead and Copper Rule",Answer: c. Total Coliform Rule (as revised)
"For systems using surface water or GWUDI, turbidity must be measured
at least
a. Every 4 hours
b. Daily
c. Weekly
d. Monthly",Answer: a. Every 4 hours
"Monitoring requirements can depend on
a. Results of a vulnerability assessment
b. Size of the water system
c. Previous MCL violations
d. All of the above",Answer: d. All of the above
"BARF is an acronym for
a. Boil Advisory Reference Form
b. Bacteriological Analysis Report Forms
c. Biological Activity Reactive Format
d. Vomit",Answer: b. Bacteriological Analysis Report Forms
