"Front","Back"
"Reverse osmosis (RO) is a pressure-driven membrane process.","True"
"RO is primarily used to remove dissolved salts, ions, and many dissolved contaminants.","True"
"Osmosis is the natural movement of water from higher solute concentration to lower solute concentration.","False"
"In RO, applied pressure must exceed the osmotic pressure of the feed water.","True"
"RO membranes are typically used to remove suspended solids (like MF does).","False"
"RO is commonly used in potable reuse to reduce TDS and trace contaminants.","True"
"RO is generally effective at removing both monovalent and divalent ions.","True"
"RO is typically effective at removing many viruses due to size exclusion alone.","False"
"Most RO membranes used in water reuse are thin-film composite (TFC) polyamide membranes.","True"
"Salt rejection is the percent of feed salts that do not pass into the permeate.","True"
"RO recovery is the fraction of feed converted to permeate.","True"
"Higher recovery generally means higher solute concentration in the concentrate stream.","True"
"Increasing recovery generally increases scaling risk in later stages.","True"
"Concentration polarization is the buildup of solutes near the membrane surface.","True"
"Higher crossflow velocity can reduce concentration polarization.","True"
"RO pretreatment is important to control fouling and protect the membrane.","True"
"MF or UF is commonly used as pretreatment ahead of RO.","True"
"RO feed water turbidity and SDI are commonly monitored as fouling indicators.","True"
"A lower SDI value generally indicates better RO feed water quality.","True"
"Particulate fouling is the only type of fouling that affects RO membranes.","False"
"Biofouling can occur in RO systems if nutrients and organisms are present.","True"
"Scaling is caused by precipitation of sparingly soluble salts (e.g., CaCO₃).","True"
"Antiscalant is commonly dosed to reduce scaling potential.","True"
"Lowering pH can reduce carbonate scaling tendency.","True"
"A higher LSI generally indicates a higher tendency for calcium carbonate scaling.","True"
"RO performance tracking often uses normalized permeate flow and normalized salt passage.","True"
"Normalization accounts for changes in temperature and operating conditions.","True"
"If membranes foul, normalized permeate flow typically decreases.","True"
"If membranes scale, differential pressure across a stage may increase.","True"
"A sudden increase in permeate conductivity can indicate reduced salt rejection or membrane damage.","True"
"Conductivity is often used as a surrogate measurement for TDS.","True"
"RO permeate typically has much lower conductivity than RO feed water.","True"
"RO concentrate typically has lower conductivity than RO permeate.","False"
"RO systems typically use spiral-wound membrane elements.","True"
"RO elements are typically installed inside pressure vessels.","True"
"Operating pressure is generally higher for higher salinity feed water.","True"
"Increasing operating pressure generally increases permeate flow.","True"
"Increasing operating pressure generally decreases energy use.","False"
"RO systems are commonly cleaned using Clean-In-Place (CIP).","True"
"CIP is typically triggered based on performance decline or pressure drop increases.","True"
"Acid cleaning is commonly used to remove inorganic scale.","True"
"Caustic cleaning is commonly used to remove organic fouling and biofouling.","True"
"Polyamide RO membranes can be damaged by free chlorine.","True"
"Dechlorination is commonly required upstream of polyamide RO membranes.","True"
"Sodium bisulfite is commonly used to remove residual chlorine upstream of RO.","True"
"A higher concentrate flow can help reduce fouling by sweeping the membrane surface.","True"
"RO can remove hardness ions such as calcium and magnesium.","True"
"RO is typically followed by UV-AOP in many potable reuse trains.","True"
"RO is typically the final barrier for trace organics in potable reuse.","True"
"RO is an effective barrier for many PFAS compounds.","True"
