Front,Back
"What is the most important aspect in maintaining a high degree of safety awareness in the water treatment facility?
a. Making sure carelessness or negligence is stressed
b. driver’s training away from the workplace
c. reading the MSDS postings each day
d. maintaining batteries in flashlights and emergency storage areas",a. Making sure carelessness or negligence is stressed
"Which is the approximate angle of repose for average soils when using the sloping method for the prevention of cave-ins? (Note: horizontal to vertical distance, respectively)
a. 0.5 : 1.0
b. 1.0 : 1.0
c. 1.5 : 1.0
d. 2.0 : 1.0",c. 1.5 : 1.0
"What federal law is designed to protect the safety and health of operators?
a. OSHA
b. FMLA
c. FLSA
d. ADEA",a. OSHA
"What are the two most important safety concerns when entering a confined space?
a. Corrosive chemicals and falls
b. Bad odors and claustrophobia
c. Extreme air temperatures and slippery surfaces
d. Oxygen deficiency and hazardous gases",d. Oxygen deficiency and hazardous gases
"Which document provides a profile of hazardous substances?
a. CERCLA
b. SARA
c. CFR
d. SDS",d. SDS
"What is the purpose of a pump guard?
a. Allows operators to turn off pump in emergency situations
b. Notifies operators of excessive temperatures
c. Allows operators to pump against a closed discharge valve
d. Protects operators from rotating parts",d. Protects operators from rotating parts
"Atmosphere is considered oxygen deficient when the oxygen level is below
a. 21.5%
b. 20%
c. 19.5%
d. 17%",c. 19.5%
"Employee hazards include
a. Noxious or toxic gases or vapors
b. Oxygen deficiency
c. Physical injuries
d. All of the above",d. All of the above
"Before entering a permit-required confined space, you must:
a. Check the atmosphere with a calibrated gas detector.
b. Make notification that personnel are entering the space.
c. Lock out and tag out all equipment.
d. All of the above.",d. All of the above.
"When making a sulfuric acid dilution, the appropriate method is:
a. Add the water to the acid.
b. Add the acid to the water.
c. Add both at the same time.
d. None of the above.",b. Add the acid to the water.
"When manually lifting any object, be sure to
a. Hold it at arm’s length.
b. Keep your back bent and hold it low.
c. Keep it close to your body and use leg strength.
d. Keep your knees locked and bend at the waist.",c. Keep it close to your body and use leg strength.
"What is the proper slope of a ladder?
a. Every 4 feet up the ladder is 1 foot out from the wall.
b. Every 5 feet up the ladder is 1 foot out from the wall.
c. Every 6 feet up the ladder is 1 foot out from the wall.
d. Every 7 feet up the ladder is 1 foot out from the wall.",a. Every 4 feet up the ladder is 1 foot out from the wall.
"When working on a chemical feed pump, what of the following is not required?
a. Nitrile gloves.
b. Safety glasses.
c. Leather work gloves.
d. Full face shield.",c. Leather work gloves.
"When must the atmosphere of a confined space be tested?
a. Only before a worker enters
b. Never, if adequate ventilation exists
c. Continuously
d. Only if welding or painting is being performed",c. Continuously
"Some gases in a confined space can be:
a. Colorless
b. Odorless
c. Deadly
d. All of the above",d. All of the above
"Why should you contact other area companies with underground utilities before starting an underground repair job? location in the area of the repair job repair job
a. To determine if there have been recent excavations in that
b. To ask these companies to mark the location of their utilities
c. To see if they also have excavating to do in the area
d. To see if they will help route traffic while you are doing the",b. To ask these companies to mark the location of their utilities
"The only acceptable breathing device to wear while handling chlorine leaks is the
a. Activated carbon canister type
b. Potassium tetroxide canister type
c. Self-contained breathing apparatus
d. Oxygen supply apparatus",c. Self-contained breathing apparatus
"It is essential to ventilate a vault before entry in order to
a. Remove excessive moisture
b. Equalize temperature and pressure
c. Eliminate foul odors
d. Remove dangerous gasses",d. Remove dangerous gasses
"Permit-required confined space entry requires
a. Bright orange jackets, rubber boots, and gloves
b. Safety harness and a lifeline
c. Tool belts with flashlight attached
d. Utility belts with a full complement of tools",b. Safety harness and a lifeline
"Which of the following is the most likely to be a fuel involved in a Class A fire?
a. Butane
b. Magnesium
c. Electrical equipment
d. Gasoline
e. Paper and/or fabrics",e. Paper and/or fabrics
"In an occupied trench where exits (i.e., ladders) are required, what is the maximum allowed travel distance between an occupant and the nearest exit?
a. 25 feet
b. 50 feet
c. 100 feet
d. At the discretion of the safety officer
e. None of the above",a. 25 feet
"Standard first aid procedures direct that the first step to control bleeding is to
a. Apply a tight tourniquet
b. Apply pressure directly to the wound
c. Let it bleed until natural clotting takes place
d. Wash wound and bandage
e. None of the above",b. Apply pressure directly to the wound
"When excavating materials that will not stand in a vertical position, the most suitable form of shoring is
a. Air shores
b. Hydraulic shores
c. Screw jacks
d. Solid sheeting
e. Cleats",d. Solid sheeting
"Which of the following gases is toxic at the lowest concentration?
a. Carbon dioxide
b. Hydrogen sulfide
c. Methane
d. Nitrogen
e. Oxygen",b. Hydrogen sulfide
"Entry into an atmosphere with high concentrations of chlorine gas requires
a. A self-contained breathing apparatus
b. An approved and uncontaminated canister mask
c. Forced ventilation of the work area
d. Atmospheric testing with ammonia solution prior to entry
e. Rubber gloves and a full-face shield",a. A self-contained breathing apparatus
"Shoring is normally required (per OSHA guidelines) for trenches of what minimum depth?
a. 4-feet
b. 5-feet
c. 6-feet
d. 7-feet
e. 8-feet",b. 5-feet
"First aid for first-degree burns is to
a. Bandage tightly
b. Cover liberally with salve
c. Pack in ice
d. Submerge the burned area in cold water
e. All of the above",d. Submerge the burned area in cold water
"What information must be on a warning tag attached to a locked-out switch? remove it
a. Directions for removing the tag
c. Signature of the person who locked out the switch and who will
d. Time to unlock the switch
e. None of the above",c. Signature of the person who locked out the switch and who will
"A confined space that contains a material that has the potential for engulfing an entrant is prior to entry equipment
a. A transition zone
b. A permit space
c. Prohibited by OSHA
d. Required to undergo atmospheric testing with ammonia solution
e. Required to use a complete ""A"" suit for personal protective",b. A permit space
"What condition must exist for an area to be considered a confined space?
a. Limited or restricted means of entry or exit
b. Is large enough for a person to enter and perform work
c. Is not designated for continuous occupancy
d. All of the above
e. None of the above",d. All of the above
"Which of the following is the most likely to be a fuel involved in a Class C fire?
a. Butane
b. Magnesium
c. Paper and/or fabrics
d. Gasoline
e. Electrical equipment",e. Electrical equipment
"Which of the following is the most likely to be a fuel involved in a Class B fire?
a. Wood
b. Magnesium
c. Electrical equipment
d. Gasoline
e. Paper and/or fabrics",d. Gasoline
"The angle of repose is the angle of the slope of a
a. Sewer
b. Graded and/or cut ground elevation
c. Trench excavation
d. Unsupported loose soil
e. Filled and compacted ground elevation",b. Graded and/or cut ground elevation
"At least 48 hours prior to conducting excavations in locations where other utilities may be present, whom should you notify?
a. WARN
b. USA
c. AWWA
d. DHS
e. EPA",b. USA
"Which of the following compounds emits a ""rotten egg"" odor?
a. Hydrogen sulfide
b. Chorine dioxide
c. Chloramines
d. Hydrochloric acid
e. Hypochlorous acid",a. Hydrogen sulfide
"Where is the best place to store a self-contained breathing apparatus (SCBA)?
a. inside a cabinet in the chlorinator room
b. in an unlocked cabinet outside the chlorinator room
c. locked in a cabinet in the office
d. locked in a cabinet just outside the chlorinator room",b. in an unlocked cabinet outside the chlorinator room
"Which of the following is a hazard when handling hydrofluosilicic acid?
a. fire
b. explosion
c. corrosion
d. inhalation",d. inhalation
"Which of the following chemical substances ii most likely to cause corrosion or deterioration of metal and concrete surfaces
a. carbon dioxide
b. ethanol
c. methane
d. hydrogen sulfide",d. hydrogen sulfide
