Front,Back
"Chlorine gas is times heavier than breathing air
a. 2.5
b. 20
c. 60
d. 460",Answer: a. 2.5
"A commonly used method to test for chlorine residual in water is
called the method.
a. HTH
b. THM
c. VOC
d. DPD",Answer: d. DPD
"When chlorine gas is added to water the pH goes down due to
a. chlorine gas producing caustic substances
b. two base materials that form
c. two acids that form
d. caustic soda being formed in the water",Answer: c. two acids that form
"Disinfection by-products are a product of:
a. Filtration
b. Disinfection
c. Sedimentation
d. Adsorption",Answer: b. Disinfection
"Secondary disinfectants are used to provide a ___ in the
distribution system.
a. Color
b. Chemical
c. Smell
d. Residual",Answer: d. Residual
"Primary disinfectants are used to _____ microorganisms.
a. Hurt
b. Inactivate
c. Burn up
d. Evaporate",Answer: b. Inactivate
"The quantity of chlorine remaining after primary disinfection is
called a ___ residual.
a. Chlorine
b. Permanganate
c. Hot
d. Cold",Answer: a. Chlorine
"The two most common types of chlorine disinfection by-products
include:
a. TTHM and HAA5
b. TTHA and HMM5
c. Turbidity and color
d. Chloride and fluoride",Answer: a. TTHM and HAA5
"To determine effectiveness of disinfection, maintain a disinfectant
residual of at least __ mg/L entering the distribution system.
a. 0.10
b. 0.5
c. 0.3
d. 0.2",Answer: d. 0.2
"A ___ residual of chlorine is required throughout the system.
a. Large
b. High
c. Trace
d. Hot",Answer: c. Trace
"The test used to determine the effectiveness of disinfection is
called the:
a. Coliform bacteria test
b. Color test
c. Turbidity test
d. Particle test",Answer: a. Coliform bacteria test
"Name two methods commonly used to disinfect drinking water other
than chlorination.
a. Ozone and ultraviolet light
b. Soap and agitation
c. Filtration and adsorption
d. Salt and vinegar",Answer: a. Ozone and ultraviolet light
"Name the two types of hypochlorites used to disinfect water.
a. Chloride and monochloride
b. Sodium and calcium
c. Ozone and hydroxide
d. Arsenic and manganese",Answer: b. Sodium and calcium
"Free chlorine can only be obtained after ___ chlorination has been
achieved.
a. Breakpoint
b. Fastpoint
c. Softpoint
d. Onpoint",Answer: a. Breakpoint
"The meaning of the ""C"" and the ""T"" in the term CT stands for:
a. Concentration and time
b. Color and turbidity
c. Calcium and tortellini
d. Chlorine and turbidity",Answer: a. Concentration and time
"Chloramine is most effective as a disinfectant
a. Primary
b. Secondary
c. Third
d. First",Answer: b. Secondary
"TTHMs and HAA5s can affect:
a. Health
b. Aesthetics
c. Color
d. Odor",Answer: a. Health
"The multiple barrier treatment approach includes
a. Sterilization and filtration
b. Disinfection and filtration
c. Disinfection and sterilization
d. Infection and filtration",Answer: b. Disinfection and filtration
"The maximum disinfectant residual allowed for chlorine in a water
system is
a. 0.02 mg/L
b. 2.0 mg/L
c. 3.0 mg/L
d. 4.0 mg/L",Answer: d. 4.0 mg/L
"What is the disinfectant byproduct caused by ozonation?
a. Trihalomethanes
b. Bromate
c. Chlorite
d. No DBP formation",Answer: b. Bromate
"Haloacetic Acids are also known as
a. TTHM
b. HOCl
c. Chlorite
d. HAA5",Answer: d. HAA5
"What is the MCL for trihalomethanes?
a. 0.10 mg/L
b. 0.06 mg/L
c. 0.08 mg/L
d. 0.12 mg/L",Answer: c. 0.08 mg/L
"What is the MCL for Haloacetic Acids?
a. 100 ppb
b. 60 ppb
c. 80 ppb
d. 120 ppb",Answer: b. 60 ppb
"What is the MCL for bromate?
a. 0.010 mg/L
b. 0.020 mg/L
c. 0.030 mg/L
d. 0.040 mg/L",Answer: a. 0.010 mg/L
"What is residual chlorine?
a. Chlorine used to disinfect
b. The amount of chlorine after the demand has been satisfied
c. The amount of chlorine added before disinfection
d. Film left on DPD kit to measure residual",Answer: b. The amount of chlorine after the demand has been satisfied
"When chlorine reacts with natural organic matter in water it can
create
a. Disinfection by-products
b. Coliform bacteria
c. Chloroform
d. Calcium",Answer: a. Disinfection by-products
"What are trihalomethanes classified as
a. Salts
b. Inorganic compounds
c. Volatile organic compounds
d. Radio",Answer: c. Volatile organic compounds
"What disinfectant is used for emergency purposes and not utilized in
the water treatment industry?
a. Chlorine
b. Iodine
c. Ozone
d. Chlorine Dioxide",Answer: b. Iodine
"What is the disinfectant with the least killing power but that has
the longest lasting residual?
a. Chlorine
b. Ozone
c. Chlorine Dioxide
d. Chloramines",Answer: d. Chloramines
