"Front","Back"
"UV-AOP is commonly used in advanced water treatment to reduce trace organic compounds.","True"
"UV-AOP is a membrane separation process similar to RO.","False"
"UV-AOP typically combines UV light with an oxidant to form hydroxyl radicals.","True"
"In potable reuse, the most common UV-AOP oxidant is hydrogen peroxide (H2O2).","True"
"Hydroxyl radicals are highly reactive and non-selective oxidants.","True"
"UV-AOP primarily removes dissolved salts.","False"
"UV dose is commonly expressed in mJ/cm².","True"
"UV intensity and exposure time both affect delivered UV dose.","True"
"UV transmittance (UVT) describes how much UV light passes through water.","True"
"UVT is commonly reported as percent transmittance at 254 nm.","True"
"Higher UVT generally means lower UV absorbance by the water.","True"
"If UVT decreases, UV power may need to increase to maintain the same UV dose.","True"
"In many advanced water purification trains, UV-AOP is located downstream of RO.","True"
"UV-AOP is typically used to remove turbidity and suspended solids.","False"
"UV-AOP can provide pathogen inactivation through UV exposure.","True"
"Hydrogen peroxide alone (without UV) is typically very effective at inactivating pathogens at UV-AOP doses.","False"
"UV-AOP performance depends on water quality, UV dose, and peroxide dose.","True"
"Increasing peroxide dose always improves AOP performance with no negative effects.","False"
"Some water constituents can consume radicals and reduce AOP effectiveness.","True"
"Bicarbonate and carbonate alkalinity can act as hydroxyl radical scavengers.","True"
"Natural organic matter (NOM) can compete for radicals in UV-AOP.","True"
"UV-AOP is typically evaluated and controlled using validated operating ranges and surrogate parameters.","True"
"UV-AOP is commonly applied upstream of MF in potable reuse trains.","False"
"Lower reactor flow at constant power generally increases delivered UV dose.","True"
"Higher reactor flow at constant power generally decreases delivered UV dose.","True"
"UV lamp sleeve fouling can reduce UV light delivery to the water.","True"
"Lamp aging typically causes UV output to decrease over time.","True"
"UV-AOP reactors often include UV intensity sensors.","True"
"Low-pressure UV lamps emit nearly monochromatic output at about 254 nm.","True"
"Medium-pressure UV lamps emit a broad spectrum of UV wavelengths.","True"
"UV-AOP can be effective for 1,4-dioxane reduction when properly designed and operated.","True"
"UV alone without peroxide is typically very effective for destroying 1,4-dioxane.","False"
"UV/H2O2 is generally more effective than UV alone for many TOrCs.","True"
"NDMA can be reduced by UV-based processes in many reuse applications.","True"
"UV-AOP is primarily a biological treatment process.","False"
"Residual peroxide may be quenched downstream to protect processes or meet residual targets.","True"
"Catalase can be used to quench hydrogen peroxide residual.","True"
"Sodium bisulfite is commonly used to quench hydrogen peroxide residual in UV-AOP systems.","False"
"UV-AOP typically increases conductivity by adding salts to the water.","False"
"UV-AOP is a key barrier after RO for trace organics in advanced water purification.","True"
"UV-AOP performance is not affected by UVT.","False"
"A drop in UVT can reduce UV delivery unless power is increased or flow is reduced.","True"
"AOP reactions are typically driven by hydroxyl radicals formed during UV exposure.","True"
"UV-AOP is commonly used to remove hardness (calcium and magnesium).","False"
"UV-AOP can help provide an additional barrier for regulated trace contaminants in potable reuse.","True"
