Front,Back
"Water rights which are acquired by diverting water and putting it to
use in accordance with specified procedures is referred to as
e. palatable water
a. artesian wells
b. potable water
c. prescriptive water
d. safe yield water",Answer: c. prescriptive water
"The difference between static level and pumping level in a well is
called:
a. drawdown.
b. cone of depression
c. zone of saturation
d. radius of influence",Answer: a. drawdown.
"The height to which water will rise in wells located in an artesian
aquifer is called the
e. Radius of influence
a. Pumping water level
b. Water table
c. Piezometric surface
d. Drawdown",Answer: c. Piezometric surface
"An aquifer that is located underneath an aquiclude is called
e. An Artesian spring
a. An unconfined aquifer
b. A confined aquifer
c. A water table
d. Unreachable groundwater",Answer: b. A confined aquifer
"The elevation of water in the casing of an operating well is called
the
e. Radius of influence
a. Piezometric surface
b. Water table
c. Pumping water level
d. Drawdown",Answer: b. Water table
"An aquifer under pressure is often termed
e. Elevated
a. Unconfined
b. Pacific
c. Artesian
d. Alluvial",Answer: c. Artesian
"An aquifer is usually composed of
e. None of the above
a. Sand and gravel
b. Clays and silts
c. Bedrock
d. Large voids in the soil, resembling underground lakes",Answer: a. Sand and gravel
"Which of the following best defines the term specific capacity?
yield to gravity
yield to pumping
an open conduit
a. Amount of water a given volume of saturated rock or sediment will
b. Amount of water a given volume of saturated rock or sediment will
c. Rate at which water would flow in an aquifer if the aquifer were
d. Amount of water a well will produce for each foot of drawdown",Answer: d. Amount of water a well will produce for each foot of drawdown
"The most common type of well used for public water supply systems is
a
a. Jetted well
b. Driven well
c. Drilled well
d. Bored well",Answer: b. Driven well
"Which one of the following best defines the term aquifer?
a. A low lying area where water pools
b. Water-bearing stratum of rock, sand, or gravel
c. Impervious stratum near the ground surface
d. Treated water leaving the water system","Answer: b. Water-bearing stratum of rock, sand, or gravel"
"Which of the following best defines the term static water level?
time
drawdown water level
drawdown water level
a. Water level in a well after a pump has operated for a period of
b. Water level in a well when the well is not in operation
c. Water level in a well measured from the ground surface to the
d. Waterlevel in a well measured from the natural water level to the",Answer: b. Water level in a well when the well is not in operation
"The residual drawdown of a well is defined as
time
pump has been off for a period of time
screen
a. Water level in a well after a pump has operated over a period of
b. Measured distance from the ground to the pumping level
c. Water level below the normal level that persists after a well
d. Measured distance between the water level and the top of the",Answer: c. Water level below the normal level that persists after a well
"A well is located in an aquifer with a water table elevation 20 feet
below the ground surface. After operating for three hours, the water
level in the well stabilizes at 50 feet below the ground surface.
The pumping water level is:
e. 100 feet
a. 20 feet
b. 30 feet
c. 50 feet
d. 70 feet",Answer: c. 50 feet
"What percentage of all the earth’s water is readily available as a
potential drinking water supply in the form of lakes, rivers, and
near-surface groundwater?
*e. 0.34%
a. 97%
b. 50%
c. 2%
d. 1%",Answer: (not marked)
"The free surface of the water in an unconfined aquifer is known as
the
e. Percolation
a. Pumping water level
b. Artesian spring
c. Water table
d. Drawdown",Answer: c. Water table
"The transfer of liquid water from plants and animals on the surface
of the earth into water vapor in the atmosphere is called
e. Percolation
a. Transpiration
b. Evaporation
c. Condensation
d. Runoff",Answer: a. Transpiration
"The term for the combined processes which transfer liquid water on
the earth’s surface into water in the gas phase in the atmosphere is
e. Precipitation
a. Percolation
b. Evapotranspiration
c. Sublimation
d. Overdraft",Answer: b. Evapotranspiration
"A primary advantage of using surface water as a water source
includes:
a. Usually higher in turbidity
b. Generally softer than groundwater
c. Easily contaminated with microorganisms
d. Can be variable in quality",Answer: b. Generally softer than groundwater
"Which source of water has the greatest natural protection from
bacterial contamination?
a. Shallow well
b. Deep well
c. Surface water
d. Spring",Answer: b. Deep well
"A water-bearing formation in the soil is referred to as
e. The static water level
a. An aquitard or aquiclude
b. An aquifer
c. An aqueduct
d. The drawdown",Answer: b. An aquifer
"An operating well will drain the water from a volume of soil around
the well during pumping. This volume is referred to as the
e. Recharge zone
a. Pumping water level
b. Radius of influence
c. Drawdown
d. Cone of depression",Answer: d. Cone of depression
"One acre is 43,560 square feet. If this acre is covered with one
foot of water, it contains
e. None of the above
a. 1 acre-foot
b. 43,560 cubic feet
c. 325,829 gallons
d. All of the above","Answer: b. 43,560 cubic feet"
"The safe yield of an aquifer is
without causing a long-term drop in the water table
water level
e. All of the above
a. Determined by the Department of Health Services
b. Variable, depending on rainfall
c. The average amount of water that can be withdrawn each year
d. The difference between the static water level and the pumping",Answer: c. The average amount of water that can be withdrawn each year
"The movement of water from the surface of the earth into the soil is
called
*e. None of the above
a. Condensation
b. Evaporation
c. Evapotranspiration
d. Runoff",Answer: (not marked)
"The freezing point of water is
a. 0^(∘)F
b. 32^(∘)C
c. 32^(∘)F
d. 100^(∘)F",Answer: c. 32^(∘)F
"The movement of water from the atmosphere to the surface of the
earth is called
*e. Precipitation
a. Condensation
b. Evaporation
c. Evapotranspiration
d. Runoff",Answer: (not marked)
"The movement of water on the surface of the earth is called
e. Infiltration
a. Percolation
b. Evaporation
c. Evapotranspiration
d. Runoff",Answer: d. Runoff
"A formation in the soil that resists water movement (such as a clay
layer) is called
a. An aquitard or aquiclude
b. An aquifer
c. An aqueduct
d. The drawdown",Answer: a. An aquitard or aquiclude
"Another term for the percolation that transports water from the
surface into an aquifer is
e. Runoff
a. Artesian springs
b. Recharge
c. Extraction
d. Overdraft",Answer: b. Recharge
"Water that is safe to drink is called water.
a. Potable
b. Palatable
c. Good
d. Clear",Answer: a. Potable
"What is the middle layer of a stratified lake called?
a. Thermocline
b. Benthic Zone
c. Epilimnion
d. Hypolimnion",Answer: a. Thermocline
"What is the conversion of liquid water to gaseous water known as?
a. Advection
b. Condensation
c. Precipitation
d. Evaporation",Answer: (not marked)
"Water weighs
a. 7.481bs/gal
b. 8.34lbs/gal
c. 62.4lbs/ft³
d. Both B. and C.",Answer: d. Both B. and C.
"What is the static level of an unconfined aquifer also known as?
a. Drawdown
b. Water Table
c. Pumping Water Level
d. Aquitard",Answer: b. Water Table
"A water bearing geologic formation that accumulates water due to its
porousness
a. Aquifer
b. Lake
c. Aquiclude
d. Well",Answer: a. Aquifer
"What kind of stream flows continuously throughout the year?
a. Ephemeral
b. Perennial
c. Intermittent
d. Stratified",Answer: b. Perennial
"The surface to atmosphere movement of water is known as
a. Precipitation
b. Percolation
c. Stratification
d. Evapotranspiration",Answer: d. Evapotranspiration
"An aquifer that is underneath a layer of low permeability is known
as
a. Confined aquifer
b. Water Table aquifer
c. Unconfined aquifer
d. Unreachable groundwater",Answer: a. Confined aquifer
"What is the middle layer of a stratified lake known as?
a. Hypolimnion
b. Benthic Zone
c. Thermocline
d. Epilimnion",Answer: c. Thermocline
"The amount of water that can be pulled from a aquifer without
depleting
a. Drawdown
b. Safe yield
c. Overdraft
d. Subsidence",Answer: b. Safe yield
"The primary origin of coliforms in water supplies is
a. Natural algae growth
b. Industrial solvents
c. Fecal contamination by warm-blooded animals
d. Acid raid",Answer: c. Fecal contamination by warm-blooded animals
"A primary source of volatile organic chemical (VOc. contamination of
water supplies is
a. Agricultural pesticides
b. Industrial solvents
c. Acid rain
d. Agricultural fertilizers",Answer: b. Industrial solvents
"The term ""surface runoff"" refers to
a. Rainwater that soaks into the ground
b. Rain that returns to the atmosphere from the earth’s surface
c. Surface water that overflows the banks of rivers
d. Water that flows into rivers after a rainfall",Answer: d. Water that flows into rivers after a rainfall
"A disease that can be transferred by water is
a. Gonorrhea
b. Malaria
c. Mumps
d. Typhoid",Answer: d. Typhoid
"To prevent the entry of surface contamination into a well is the
purpose of
*e. The annular grout seal
a. The well casing
b. The water table
c. The louvers or slots
d. Well development",Answer: (not marked)
"Potable water may be defined as
consumption
e. Water that has been transported from outside the service area
a. Water high in organic content
b. Any water that occasionally may be polluted from another source
c. Any water that, according to recognized standards, is safe for
a. Water that indicates a septic condition","Answer: c. Any water that, according to recognized standards, is safe for"
"An operating well will drain the water from a volume of soil around
the well during pumping. This volume is referred to as the
e. Recharge zone
a. Pumping water level
b. Radius of influence
c. Drawdown
d. Cone of depression",Answer: d. Cone of depression
"A well screen must be installed in
a. deep wells
b. consolidated materials
c. shallow wells
d. unconsolidated materials",Answer: (not marked)
"A well is acidified in order to
a disinfect
b. increase yield
c. remove objectionable gases
d. remove disinfection by-products",Answer: (not marked)
"A well is acidized in order to
a. Disinfect the water
b. Increase yield
c. Remove objectionable gasses
d. Remove disinfection by-products",Answer: (not marked)
"To prevent the entry of surface contamination into a well is the
purpose of
a, The well casing
e. The annular grout seal
b. The water table
c. The louvers or slots
d. Well development",Answer: (not marked)
"The variation in water demand during the course of a day is termed
e. Diurnal variation
a. Seasonal variation
b. Fire flow requirements
c. Emergency storage variation
d. The straight line equalization method",Answer: (not marked)
"The maximum momentary load placed on a water supply system is known
as
a. Average daily flow
b. Average daily demand
c. Rated capacity
d. A System float
d. Peak demand",Answer: (not marked)
"The term aquifer refers to:
a. A special type of aqueduct.
b. A natural source of water.
c. A potable water.
d. Water bearing strata.",Answer: b. A natural source of water.
"The use of a well supply as a source normally results in:
a. Water that is high in nitrates
b. Water of consistent quality
c. Water very high in mineral content
d. Water that is considered ""soft"".",Answer: b. Water of consistent quality
"Maximum Safe Yield of a water source is defined as:
a) Where the state health department has approved the source of use.
over a period of years without depleting the source permanently -
beyond it’s ability to replenish in wet years.
b. The quantity of water that can be taken from a source of supply
c. Water that is free of bacteria.
d. Quantity of water that may be treated in the plant.",Answer: b. The quantity of water that can be taken from a source of supply
"Movement of water through the ground is called:
a. Hydraulic subsidence
b. Runoff
c. Percolation
d. Infiltration",Answer: (not marked)
"A primary source of volatile organic chemical (VOc. contamination of
water supplies is
a. Agricultural pesticides
b. Industrial solvents
c. Acld rain
d. Agricultural fertilizers",Answer: (not marked)
"Surging a well to loosen scale deposits on the screen refers to:
hammer
a. turning the pumps on and off as fast as possible to cause a water
b. pumping the water in and out of a well
c. sending shock waves through the aquifer to cause a surge of water
d. using a water jet to surge around the well casing.",Answer: (not marked)
"A sanitary well seal is used to:
a. seal the clear well
b. seal the top of the well casing
c. seal the water tower
d. seal a break in the distribution system",Answer: b. seal the top of the well casing
"The amount of water that a well will produce for each foot of
drawdown is called:
a. specific head
b. static yield
c. yield/feet
d. specific capacity",Answer: c. yield/feet
"After replacing a repaired pump back into a well, the operator
should first:
a put the seal on tight to avoid contamination
b. add chlorine to disinfect the well and surrounding aquifer
c. start the pump to make sure that it will pump water
d. open the valve to let the pressure off the line",Answer: b. add chlorine to disinfect the well and surrounding aquifer
"The amount of water in a water-bearing formation depends on the
a. Depth of the well
b. Size of the pump
c. Thickness and permeability of the formation
d. Type of well casing",Answer: c. Thickness and permeability of the formation
"The water table is defined as the
a. Pumping water level in a well
b. Upper surface of the groundwater
c. Water level in a reservoir
d. Bottom of the aquifer",Answer: b. Upper surface of the groundwater
"Surface waters are more difficult to clean up or remediate than
groundwater.
a. true
b. false",Answer: a. true
"A sanitary survey is used to determine
a. source water characteristics and effectiveness of treatment
b. the hygienic and operational aspects of the plant
c. compliance with the SDWA and other EPA mandates
d. whether the CCR is complete and accurate",Answer: a. source water characteristics and effectiveness of treatment
"How much water an aquifer will yield depends
a. on its size or volume.
b. on its porosity and permeability.
c. almost entirely on the type of rock formation.
d. on the pore spaces.",Answer: b. on its porosity and permeability.
"Which would most likely be the source of contaminants that include
nitrates, sulfates, organic compounds (solvents), sodium, and
microbiological contaminants?
a. Septic tanks and leech fields
b. Agricultural activities
c. Infiltration of urban runoff
d. Municipal landfills",Answer: a. Septic tanks and leech fields
"An artesian aquifer could occur in a(n)
a. confined aquifer.
b. unconfined aquifer.
c. water table aquifer.
d. shale formation.",Answer: a. confined aquifer.
"Which would most likely be the source of contaminants that include
pesticides, herbicides, and nitrates?
a. Land application of wastewater
b. Agricultural activities
c. Municipal landfills
d. Liquid waste leaching ponds",Answer: b. Agricultural activities
"Manganese causes a
a. brown stain.
b. yellow stain.
c. black stain.
d. yellow stain for mn⁺² and black stain for mn⁺³.",Answer: c. black stain.
"The principal source of excess lead and copper at the customer’s tap
is from
a. transmission lines.
b. distribution appurtenances.
c. household plumbing systems.
d. raw groundwater or surface water.",Answer: c. household plumbing systems.
"The gradual flow or movement of water into and through the pores of
the soil is called
e. evapotranspiration
a. percolation
b. run-off
c. precipitation
d. impermeable flow",Answer: a. percolation
"The ""rate of reasonable sharing"" of water is usually called the
a. Riparian doctrine.
b. Legal use doctrine.
c. Priority use doctrine.
d. Beneficial use doctrine.",Answer: a. Riparian doctrine.
"The hydrologic cycle relates to
a. the treatment processes
b. an old Harley
c. movement of water in the environment
d. the moons pull on tidewaters",Answer: c. movement of water in the environment
