Front,Back
"Purpose of a distribution system?","Deliver safe,adequate pressure and quantity to consumers."
"Typical minimum system pressure?","Commonly 20 psi during fire flow; 35–60 psi normal (jurisdiction dependent)."
"What is a grid system?","Interconnected mains for redundancy and fire flow."
"What is a dead-end main?","Main with only one source; prone to low turnover and water quality issues."
"What is looping?","Connecting mains to improve reliability and water quality."
"Purpose of hydrant flushing?","Remove sediments, verify flow, and maintain water quality."
"Unidirectional flushing benefit?","Higher velocities and better scouring using planned valve closures."
"What is a gate valve used for?","Isolation (fully open/closed)."
"Valve best for throttling?","Globe valve."
"Air‑vac/air‑release valve purpose?","Release trapped air and admit air during draining."
"What is a PRV?","Pressure Reducing Valve to control downstream pressure."
"What is a service connection?","Pipe and appurtenances from main to customer's premises."
"What is a meter box?","Housing that protects and provides access to a water meter."
"What is cross‑connection control?","Preventing backflow from non-potable to potable systems."
"What is a blow‑off?","Appurtenance to flush dead‑end mains (usually at line terminus)."
"What is a main break sign?","Loss of pressure, discolored water, ground saturation, low residual."
"What is a backflow preventer?","Device (RP, DCVA, PVB) that prevents reverse flow."
"What causes low residual in dead ends?","High water age, nitrification, high demand variability."
"What is tank turnover?","Frequency at which stored water is replaced; affects water quality."
"What is a standpipe vs elevated tank?","Standpipe: tall ground tank; elevated: tower with tank on top."
"What is SCADA?","Supervisory Control and Data Acquisition for remote monitoring/control."
"Purpose of main disinfection (AWWA C651)?","Sanitize new or repaired mains before service."
"Which sample confirms main disinfection?","Bac-T samples showing absence of coliform/E. coli."
"What is a service saddle?","Fitting to tap mains when direct tapping not feasible."
"What is tracer wire?","Wire installed with plastic pipe to aid future locating."
"What is a locator markout?","Surface markings showing underground utility locations."
"What is a thrust block?","Concrete mass that resists pipe movement at fittings due to thrust."
"Why maintain valve records/GIS?","Support isolation planning and maintenance."
"What is C-factor (Hazen‑Williams)?","Pipe roughness coefficient affecting headloss."
"What is a distribution system map used for?","Locating assets, planning repairs, and hydraulic modeling."
"What is the purpose of a water distribution system?","To deliver safe drinking water from treatment plants or sources to consumers at adequate pressure and flow."
"What is residual pressure?","The pressure available at a service connection while water is flowing."
"What is static pressure?","The pressure measured in a closed system with no flow."
"What is normal distribution pressure range?","Typically between 40 and 80 psi for customer service."
"What is minimum pressure required during fire flow?","Generally 20 psi to ensure fire protection and prevent contamination."
"What is a distribution main?","A pipe that carries water to service lines and smaller mains."
"What is a service line?","A pipe that delivers water from the main to an individual customer."
"What is a hydrant used for?","For fire protection and flushing distribution mains."
"What is unidirectional flushing (UDF)?","A method of cleaning mains by isolating sections and flushing at high velocities in one direction."
"Why flush distribution mains?","To remove sediment, improve chlorine residual, and maintain water quality."
"What is a dead-end main?","A pipe that terminates without looping, prone to poor circulation and low chlorine residual."
"How can dead-end mains be improved?","By looping or flushing to maintain water quality."
"What is water age?","The time water spends in the distribution system; long age increases DBPs and reduces residuals."
"What is a storage tank used for?","To balance supply and demand, maintain pressure, and provide fire protection storage."
"What is a standpipe?","A tall tank providing both storage and system pressure by elevation."
"What is an elevated tank?","A tank on a tower providing pressure through elevation head."
"What is a booster station?","A pump facility used to raise pressure or transfer water between zones."
"What is a pressure zone?","A defined area within a system where pressures are maintained within limits by pumps, tanks, or PRVs."
"What is a PRV?","Pressure Reducing Valve, used to lower pressure in zones with excessive system pressure."
"What is a PSV?","Pressure Sustaining Valve, used to maintain upstream pressure while allowing downstream flow."
"What is a cross-connection?","Any physical connection that could allow non-potable water to enter the drinking water system."
"What is backflow?","Unwanted reversal of flow from non-potable into potable system, caused by backsiphonage or backpressure."
"What is backsiphonage?","Backflow due to negative pressure (vacuum) in the distribution system."
"What is backpressure?","Backflow caused when downstream pressure exceeds supply pressure."
"What devices prevent backflow?","Air gaps, double check valves, reduced pressure zone (RPZ) assemblies."
"What is a water main break?","A failure in a pipe wall causing water leakage and potential service disruptions."
"Why are valve exercising programs important?","To ensure valves function when needed for isolations or emergencies."
"What is a gate valve used for?","For isolating sections of pipe, not for throttling flow."
"What is a butterfly valve used for?","For throttling or isolating, especially in larger diameter mains."
"What is a check valve used for?","To prevent reverse flow in distribution lines or pump discharges."
"What is water hammer?","A surge of pressure caused by rapid changes in flow, such as valve closure or pump shutdown."
"How is water hammer mitigated?","By using surge tanks, slow-closing valves, or air chambers."
"What is SCADA in distribution?","Supervisory Control and Data Acquisition system used to monitor and control tanks, pumps, and pressures."
"Why monitor chlorine residuals in distribution?","To ensure ongoing disinfection and protect against contamination."
"Why are bacteriological samples collected in distribution?","To verify the absence of total coliform and E. coli as required by regulations."
"What is a main disinfection procedure?","Flushing and chlorinating new or repaired mains before placing into service, per AWWA C651."
"What is C651?","The AWWA standard for disinfecting water mains."
"What is leakage control in distribution?","Detecting, repairing, and preventing leaks to reduce water loss and protect water quality."
"What is unaccounted-for water?","Water that is produced but not billed due to leaks, meter inaccuracies, or unauthorized use."
"What is a distribution system map?","A record of pipe sizes, valves, hydrants, and facilities used for operation and emergency response."
"Why is pipe material selection important?","It affects water quality, hydraulic capacity, corrosion resistance, and service life."
