Front,Back
"Purpose of a distribution system?,"Deliver safe"," adequate pressure and quantity to consumers."
"Typical minimum system pressure?","Commonly 20 psi during fire flow; 35–60 psi normal (jurisdiction dependent)."
"What is a grid system?","Interconnected mains for redundancy and fire flow."
"What is a dead-end main?","Main with only one source; prone to low turnover and water quality issues."
"What is looping?","Connecting mains to improve reliability and water quality."
"Purpose of hydrant flushing?,"Remove sediments"," verify flow"," and maintain water quality."
"Unidirectional flushing benefit?","Higher velocities and better scouring using planned valve closures."
"What is a gate valve used for?","Isolation (fully open/closed)."
"Valve best for throttling?","Globe valve."
"Air‑vac/air‑release valve purpose?","Release trapped air and admit air during draining."
"What is a PRV?","Pressure Reducing Valve to control downstream pressure."
"What is a service connection?","Pipe and appurtenances from main to customer's premises."
"What is a meter box?","Housing that protects and provides access to a water meter."
"What is cross‑connection control?","Preventing backflow from non-potable to potable systems."
"What is a blow‑off?","Appurtenance to flush dead‑end mains (usually at line terminus)."
"What is a main break sign?,"Loss of pressure"," discolored water"," ground saturation"," low residual."
"What is a backflow preventer?,"Device (RP"," DCVA"," PVB) that prevents reverse flow."
"What causes low residual in dead ends?,"High water age"," nitrification"," high demand variability."
"What is tank turnover?","Frequency at which stored water is replaced; affects water quality."
"What is a standpipe vs elevated tank?","Standpipe: tall ground tank; elevated: tower with tank on top."
"What is SCADA?","Supervisory Control and Data Acquisition for remote monitoring/control."
"Purpose of main disinfection (AWWA C651)?","Sanitize new or repaired mains before service."
"Which sample confirms main disinfection?","Bac-T samples showing absence of coliform/E. coli."
"What is a service saddle?","Fitting to tap mains when direct tapping not feasible."
"What is tracer wire?","Wire installed with plastic pipe to aid future locating."
"What is a locator markout?","Surface markings showing underground utility locations."
"What is a thrust block?","Concrete mass that resists pipe movement at fittings due to thrust."
"Why maintain valve records/GIS?","Support isolation planning and maintenance."
"What is C-factor (Hazen‑Williams)?","Pipe roughness coefficient affecting headloss."
"What is a distribution system map used for?,"Locating assets"," planning repairs"," and hydraulic modeling."
