Front,Back
"You are the shift supervisor at a water treatment plant. One of your operators consistently forgets to document chemical dosage adjustments. What is the most appropriate first step? and expectations
a. Report the operator to the state certification board
b. Reassign the operator to a less critical task
c. Meet with the operator to review the importance of documentation
d. Document the issue and suspend the operator immediately",c. Meet with the operator to review the importance of documentation
"A new operator has just joined your team and is unfamiliar with the SCADA system. You are very short-staffed and need all operators functional. What should you do? supervised training
a. Assign the operator to SCADA tasks and let them learn on the job
b. Pair the new operator with a more experienced operator for
c. Ask the operator to read the SCADA manual and report back
d. Limit the operator to custodial duties until fully trained",b. Pair the new operator with a more experienced operator for
"During a routine check, you notice that two operators are bypassing safety lockout/tagout procedures to save time. What is your best response as a supervisor? with the staff
a. Ignore it—no incident occurred
b. Remind them to be more careful in the future
c. Stop the unsafe practice immediately and conduct a safety review
d. File a formal disciplinary action without discussion",c. Stop the unsafe practice immediately and conduct a safety review
"An operator on your team regularly arrives late but performs their duties well. This is starting to affect team morale. What should you do? attendance expectations
a. Praise the operator’s good performance and ignore the tardiness
b. Warn the entire team that future lateness will be punished
c. Discuss the issue privately with the operator and reinforce
d. Reduce the operator’s responsibilities as punishment",c. Discuss the issue privately with the operator and reinforce
"You observe that two experienced operators frequently disagree on operational decisions and it’s causing tension in the control room. How should you respond? operational protocols
a. Let them resolve it on their own
b. Schedule a meeting with both operators to mediate and set clear
c. Side with the more senior operator
d. Separate their shifts permanently",b. Schedule a meeting with both operators to mediate and set clear
"You discover that an operator accidentally overdosed chlorine during the night shift but did not report it. What is your ethical obligation as the supervisor? normal documentation
a. Ignore the incident since water quality has already returned to
b. Cover for the operator to avoid disciplinary action
c. Report the incident and ensure corrective action and
d. Quietly retrain the operator without informing management",c. Report the incident and ensure corrective action and
"An operator tells you that they’re recording data based on “what it should be,” not actual meter readings. What is the best ethical response? review of past entries
a. Let it slide if the plant is operating within limits
b. Tell the operator to keep a separate log of the actual data
c. Instruct the operator to record actual values and initiate a
d. Adjust future readings to average out discrepancies",c. Instruct the operator to record actual values and initiate a
"Which of the following actions best demonstrates ethical behavior in a water treatment plant? skipped confidence
a. Performing duties efficiently, even if safety procedures are
b. Reporting only favorable test results to maintain public
c. Following SOPs and documenting all results accurately and timely
d. Only reporting issues if they result in a regulatory fine",c. Following SOPs and documenting all results accurately and timely
"A vendor offers you tickets to a sporting event in exchange for choosing their chemical product. What should you do? or purchasing department
a. Accept the tickets if you believe the product is the best option
b. Decline the offer and report the interaction to your supervisor
c. Accept and give the tickets to a coworker
d. Suggest they offer a group discount instead",b. Decline the offer and report the interaction to your supervisor
"As a certified operator, who is your primary ethical responsibility to?
a. Your employer
b. Your coworkers
c. The general public and regulatory agencies
d. Yourself",c. The general public and regulatory agencies
"Which of the following is typically considered a capital expense in a water treatment facility?
a. Electricity for pumps
b. Replacement of chlorine cylinders
c. Purchase of a new filter press
d. Monthly lab testing supplies",c. Purchase of a new filter press
"Which of the following items is most likely included in the operating budget?
a. Engineering design for a new clarifier
b. Annual salary for plant operators
c. Land acquisition for expansion
d. New SCADA system installation",b. Annual salary for plant operators
"During budget planning, you are asked to justify a new chemical feed pump. What type of cost justification should you provide?
a. Public interest letter
b. Return on investment (ROI) analysis or cost-benefit evaluation
c. A verbal estimate from a technician
d. A copy of the plant’s emergency plan",b. Return on investment (ROI) analysis or cost-benefit evaluation
"What is the primary purpose of a budget in water utility operations?
a. To eliminate all unnecessary staff
b. To ensure all water is sold at a profit
c. To plan and control financial resources effectively
d. To keep plant operations secret from the public",c. To plan and control financial resources effectively
"If your plant exceeds its chemical budget for the quarter, what is the most appropriate action? action
a. Stop chemical dosing until the next budget cycle
b. Switch to untreated source water
c. Investigate the cause and propose an adjustment or corrective
d. Ignore the overage if water quality remains acceptable",c. Investigate the cause and propose an adjustment or corrective
